RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130350,Jake Harris,1005515,,FTLX8571D3BCV,,225,15.80,USD,,,,,stock,,,Quoted MPN: FTLX8571D3BCV-IT
1130350,Jake Harris,1002428,,MSP430F149IPMG4,,50,3.75,USD,09+,,,,stock,,,Quoted MPN: MSP430F149IPMG4REVN. NEW SURPLUS
1130350,Jake Harris,1004498,,FTSH-108-01-L-DV-P-TR,Samtec,2500,1.25,USD,2023,,,,1-3 days,,Yes,Quoted MPN: FTSH10801LDVK. ROHS
1130350,Jake Harris,1005735,,FTSH-108-01-L-DV-P-TR,,600,6.5,,,,,,stock,,,Quoted MPN: FTSH-108-01-L-DV-K-A-P-TR. EXW Israel TT in advance NCNR
1129768,Jake Harris,1002522,,MSP430F149IPMR,,1000,1.75,USD,14+,,,,stock,,,1K Reel. Originally quoted against RFQ 1130350
1005322,Jake Harris,1002787,,CY8C3866AXI-040T,Infineon,40,8.00,USD,,,,,Stock,,,COD terms. Originally quoted against RFQ 1130350
