RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130350,Jake Harris,1005611,,AQY210SX,Panasonic,1181,0.50,,17,,,,,,
1130847,Jake Harris,1002426,,BCM5241A1IMLG,Broadcom,2000,5.50,,22,,,,,,
1130350,Jake Harris,1002787,,CY8C3866AXI-040T,Infineon,40,8.00,,,,,,,,,
1130350,Jake Harris,1002787,,EPM2210F324I5N,Intel,20,74.00,,849,,,,,,
1130350,Jake Harris,1002457,,SST38VF6401-90-5I-B3KE,Microchip,70,5.00,,1630,,,,,Y,Trays quote# 394751
1130350,Jake Harris,1002457,,1210YD226MAT2A,AVX,1488,0.40,,11+/04+,,,,,,Y,513pcs 11+ 975pcs 04+. quote# 394748
1130350,Jake Harris,1002863,,NFM18PC225B0J3D,Murata,4252,0.025,,20+,,,1-Day,,,New And Original Parts Warranty 180 days
1130350,Jake Harris,1004223,,1210YD226MAT2A,AVX,1000,0.50,,08+,,,,,JP,,
1130350,Jake Harris,1005735,,NFM18PC225B0J3D,Murata,8900,0.22,,PTF52,,,,,,,Quote# 007537 EXW Israel
1130350,Jake Harris,1002612,,SST38VF6401-90-5I-B3KE,Microchip,9,6.00,,1120,,,,,,factory new C/C Terms
1130350,Jake Harris,1005353,,MAX3318EEUP-T,Maxim,1029,3.00,,0528,,,,,,N,NON ROHS
1130350,Jake Harris,1001208,,SST38VF6401-90-5I-B3KE,Microchip,80,0.94,,18+,80,,stock,,,Flip Electronics - $500 PO minimum NCNR
[NEEDS_RFQ],Jake Harris,1002450,,CDRH3D23NP1R0PC,SUM,1271,0.18,,13,,,T/R,1-2 business days,CN,Y,AER Worldwide - Min Order $100 30-day warranty
1130350,Jake Harris,1003395,,1210YD226MAT2A,AVX,3000,0.65,,1001,,1000,T/R,stock,,,Legend Electronics - Min order $100 FOB HNY
1130350,Jake Harris,1002337,,NFM18PC225B0J3D,Murata,9741,0.69,,22,,,stock,,,Select Technology - new in stock
1130350,Jake Harris,1002842,,39-29-5243,,10,5.00,,,,,,,,,Nexus Electronics
1130350,Jake Harris,1005293,,MSP430F149IPMG4,,120,9.75,,,,,,,,,EGB Inc
1130350,Jake Harris,1002399,,C1812C335K1RAC7800,,468,0.20,,1741,,,Partial reel,stock,,Y,Inventory Management Partners
