Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,EP1AGX90EF1152C6N,Altera,,18,,,United States,,,SBU: MICT. List 2 - older parts.,,,,,,
,EP2S60F1020C4,Altera,,450,,,United States,,,SBU: MICT. List 2 - older parts.,,,,,,
,10CL006YU256C8G,Altera,,20,,,United States,202219-202237,,"List 3 - Partstat, Winter Springs FL. SBU: IGT.",,,,,,
,10CL040YF484C8G,Altera,,548,,,United States,202237-202243,,"List 3 - Partstat, Winter Springs FL. SBU: IGT.",,,,,,
,5M240ZM100C5N,Altera,,6504,,,United States,202213-202231,,"List 3 - Partstat, Winter Springs FL. SBU: Ultrasound.",,,,,,
,5M240ZT100C5N,Altera,,4900,,,United States,202219-202237,,"List 3 - Partstat, Winter Springs FL. SBU: LCS.",,,,,,
,EP1AGX20CF780C6N,Altera,,476,,,United States,202143-202225,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP1AGX60EF1152C6N,Altera,,12,,,United States,202219-202301,,"List 3 - Partstat, Winter Springs FL. SBU: MR.",,,,,,
,EP2AGX125DF25C4G,Altera,,1394,,,United States,202213-202225,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP2AGX125DF25C4G,Altera,,16,,,United States,202213-202225,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP2AGX260FF35C5G,Altera,,460,,,United States,202225,,"List 3 - Partstat, Winter Springs FL. SBU: IGT.",,,,,,
,EP2AGX45CU17C4G,Altera,,10551,,,United States,202219-202243,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP2AGX45CU17C4G,Altera,,261,,,United States,202219-202243,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP2C35F484C7N,Altera,,769,,,United States,202219-202225,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP2C35F484C8N,Altera,,3172,,,United States,202213-202225,,"List 3 - Partstat, Winter Springs FL. SBU: IGT.",,,,,,
,EP2C35F672C8N,Altera,,308,,,United States,202213,,"List 3 - Partstat, Winter Springs FL. SBU: MR.",,,,,,
,EP2C8T144C8N,Altera,,3831,,,United States,202207-202219,,"List 3 - Partstat, Winter Springs FL. SBU: ISS.",,,,,,
,EP3C120F484C7N,Altera,,60,,,United States,202143,,"List 3 - Partstat, Winter Springs FL. SBU: Ultrasound.",,,,,,
,EP3C16F484C8N,Altera,,104,,,United States,202225,,"List 3 - Partstat, Winter Springs FL. SBU: Ultrasound.",,,,,,
,EP3C25F256C8N,Altera,,87,,,United States,202219,,"List 3 - Partstat, Winter Springs FL. SBU: IGT.",,,,,,
,EP3C5E144C8N,Altera,,179,,,United States,202219-202237,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP3C5U256C8N,Altera,,972,,,United States,202219-202237,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EP4CE15F23C8N,Altera,,260,,,United States,202213,,"List 3 - Partstat, Winter Springs FL. SBU: Ultrasound.",,,,,,
,EP4CE6E22C8N,Altera,,25,,,United States,202219,,"List 3 - Partstat, Winter Springs FL. SBU: LCS.",,,,,,
,EPM1270T144C3N,Altera,,16,,,United States,202219,,"List 3 - Partstat, Winter Springs FL. SBU: IGT.",,,,,,
,EPM240T100C5N,Altera,,4212,,,United States,202207-202237,,"List 3 - Partstat, Winter Springs FL. SBU: Ultrasound.",,,,,,
,EPM570F100C5N,Altera,,87,,,United States,202219-202243,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EPM570F100C5N,Altera,,4427,,,United States,202219-202243,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
,EPM570F256C5N,Altera,,15,,,United States,202231-202237,,"List 3 - Partstat, Winter Springs FL. SBU: MICT.",,,,,,
