RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Min Resale Under Target,Min GP,Min Margin,RFQ Target,RFQ Qty,Max GP,Max Margin,RFQ Number,RFQ MPN,RFQ Created,RFQ Customer,Days Btw MO/VQ & RFQ,RFQ Manufacturer
1,EH2300002007,0.23795918367346947,VQ,"Honeng Electronics Co., Ltd",,20+,ASDMB-100.000MHZ-XY-T,2020-07-15T11:50:43,6.183055975794251,1619.45,4087,1.867,2.348089258698941,YES,317.9999999999999,0.2048854220156473,2.45,661,385.3630000000001,0.23795918367346947,1058890,ASDMB100000MHZXYT,2024-02-22T18:12:42,GPV,1317,Abracon
1,MR710062Z,0.2365196078431373,VQ,Future Electronics Corporation,,W2Y,AB38T-32.768KHZ,2025-10-03T07:42:06,114.28571428571429,2.8560000000000003,4000,0.0623,9.148014285714286,NO,318,0.9931897788903447,0.0816,35,0.6755000000000002,0.2365196078431373,1058890,AB38T32768KHZ,2024-02-22T18:12:42,GPV,589,ABRACON
1,OM1009000642-2,0.23333333333333328,MO - 1023148,Grass Valley,Customer Excess,,ABS25-32.768KHZ-6-T,2025-04-24T00:10:17,11.832512315270936,60.9,2402,0.23,1.7965024630541873,NO,318,0.8719734569086073,0.3,203,14.209999999999996,0.23333333333333328,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,427,ABRACON
1,OM1009000655,0.2283464566929133,VQ,ETCHIPS PTE. LTD,,25+,ABS07-32.768KHZ-T,2026-01-14T05:39:28,0,519.684,0,0.196,0.351425219941349,NO,318.00000000000006,0.44227110384191737,0.254,2046,118.66799999999999,0.2283464566929133,1058890,ABS0732768KHZT,2024-02-22T18:12:42,GPV,692,ABRACON
1,MR710062Z,0.2279411764705883,VQ,Future Electronics Corporation,,,AB38T-32.768KHZ,2025-09-01T13:10:15,57.142857142857146,2.8560000000000003,2000,0.063,9.148714285714286,NO,318,0.9931137864805359,0.0816,35,0.6510000000000002,0.2279411764705883,1058890,AB38T32768KHZ,2024-02-22T18:12:42,GPV,557,ABRACON
1,MR560001RO,0.203030303030303,VQ,SMARTEL ELECTRONICS (ASIA) CO LTD,,22+,ABM7-12.000MHZ-D2Y-T,2025-03-14T05:08:59,1.4124293785310735,934.5600000000001,4000,0.263,0.37528813559322033,NO,317.99999999999994,0.29920513052118136,0.33,2832,189.744,0.203030303030303,1058890,ABM712000MHZD2YT,2024-02-22T18:12:42,GPV,386,ABRACON
1,EH2300002009,0.17966903073286056,VQ,Arrow Electronics,,within 5y ,ABS07-32.768KHZ-7-T,2025-06-05T02:08:51,3728.252647503782,279.603,2464375,0.347,0.8280892586989409,NO,317.99999999999994,0.5809630467309868,0.423,661,50.23600000000001,0.17966903073286056,1058890,ABS0732768KHZ7T,2024-02-22T18:12:42,GPV,469,Abracon
1,OM1009000642-2,0.14746666666666663,VQ,Avnet,,within 2 years ,ABS25-32.768KHZ-6-T,2025-11-25T23:25:08,14.77832512315271,60.9,3000,0.25576,1.8222624630541873,NO,318,0.859647001908092,0.3,203,8.98072,0.14746666666666663,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,642,ABRACON
1,OM1009000642-2,0.12726666666666664,MO - 1020747,Jabil Inc,Customer Excess,,ABS25-32.768KHZ-6-T,2024-08-30T06:52:10,382.9113300492611,60.9,77731,0.26182,1.828322463054187,NO,318,0.8567976900734275,0.3,203,7.750539999999998,0.12726666666666664,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,190,ABRACON
1,OM1009000642-2,0.12726666666666664,MO - 1020747,Jabil Inc,Customer Excess,,ABS25-32.768KHZ-6-T,2024-08-30T06:52:15,382.9113300492611,60.9,77731,0.26182,1.828322463054187,NO,318,0.8567976900734275,0.3,203,7.750539999999998,0.12726666666666664,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,190,ABRACON
1,OM1009000642-2,0.12726666666666664,MO - 1018771,Jabil Inc,Customer Excess,,ABS25-32.768KHZ-6-T,2024-03-20T12:20:13,466.7192118226601,60.9,94744,0.26182,1.828322463054187,NO,318,0.8567976900734275,0.3,203,7.750539999999998,0.12726666666666664,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,27,ABRACON
1,OM1009000642-2,0.12726666666666664,MO - 1018771,Jabil Inc,Customer Excess,,ABS25-32.768KHZ-6-T,2024-03-20T12:40:21,466.7192118226601,60.9,94744,0.26182,1.828322463054187,NO,318,0.8567976900734275,0.3,203,7.750539999999998,0.12726666666666664,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,27,ABRACON
1,OM1009000642-2,0.12726666666666664,MO - 1019682,Jabil Inc,Customer Excess,,ABS25-32.768KHZ-6-T,2024-06-06T05:05:55,434.4926108374384,60.9,88202,0.26182,1.828322463054187,NO,318,0.8567976900734275,0.3,203,7.750539999999998,0.12726666666666664,1058890,ABS2532768KHZ6T,2024-02-22T18:12:42,GPV,105,ABRACON
