customer_code,customer_name,city,address1,postal,bp_salesperson,category
1004022,"Ampro ADLINK Technology, Inc.",San Jose,"5215 Hellyer Avenue, #110,",95138,Carolin Zeller,BP rep is INACTIVE
1008372,Apollo Manufacturing,San Diego,10360 Sorrento Valley Rd,92121,Oscar Medina,BP rep is INACTIVE
1002728,Applied Materials,Fremont,940 Auburn Court,94538,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,San Jose,2243 Lundy Ave,95131,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,San Jose,2120 Bering Dr,95131-2013,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,San Jose,6190 San Ignacio Avenue,95119,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,3101 Scott Blvd,95054-3318,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,3050 Bowers Avenue,95054,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,ATTN: Henry Barandica,95050,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Santa Clara,"Building 21, 1285 Walsh Ave",95050,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Sunnyvale,990 Benecia Ave.,94085,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Tracy,Applied Material Inc. NACDC P5250,95304,Bac Nguyen,BP rep is INACTIVE
1002728,Applied Materials,Tracy,Applied Material Inc P5252,95304,Bac Nguyen,BP rep is INACTIVE
1009065,Archer Aviation,San Jose,190 W Tasman Dr,,Colton Hammond,BP rep is INACTIVE
1002404,Arista,San Francisco,1390 Market St. #800,94102,Bac Nguyen,BP rep is INACTIVE
1002404,Arista,Santa Clara,5453 Great America Parkway,95054,Bac Nguyen,BP rep is INACTIVE
1006573,Ark Electronics,Irvine,400 Spectrum Center Drive,92618,Juan Santana,BP rep is INACTIVE
1009872,"Armacorp, Inc.",Anaheim,1191 N. Patt St.,92801,Nicholas Tyler,BP rep is INACTIVE
1004008,Asteelflash,Fremont,Asteelflash USA Corp,94538,Hugo Ogalde,BP rep is INACTIVE
1004008,Asteelflash,Milpitas,1940 Milmont Drive,95035,Hugo Ogalde,BP rep is INACTIVE
1010732,"Astro Geo Marine, Inc.",Ventura,"2186 Knoll Drive, Unit B",93003,Michael Lopez,BP rep is INACTIVE
1004442,AstroGeo Marine,ventura,2186 Knoll Dr ,93003,Will Hawk,BP rep is INACTIVE
1009670,Aviatrix,Santa Clara,2901 Tasman Dr #109,95054,Anthoney Bramante,BP rep is INACTIVE
1005116,Axxcss Wireless Solutions,Santa Barbara,82 Coromar Dr,93117,Colton Hammond,BP rep is INACTIVE
1001074,BAE SYSTEMS,Chula Vista,1650 Industrial Blvd,91911,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,Los Angeles,"5140 W. Goldleaf Circle, Suite G-100",90056,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,Los Angeles,"5140 W. Goldleaf Circle, Suite G-100",90056,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,MD,122810 Notch Road,20619,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,San Diego,2205 Belt St,92113,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,San Diego,10920 Technology Pl,92127,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,San Diego,10920 Technology Place,92127,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,San Diego,3990 Old Town Ave.,92110,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,San Jose,"1841 Zanker Rd., Ste. 50",95112,Garrett Smith,BP rep is INACTIVE
1001074,BAE SYSTEMS,San Jose,6331 San Ignacio Ave.,95119,Garrett Smith,BP rep is INACTIVE
1002705,BCP SYSTEMS,Anaheim,1560 S. Sinclair St.,92806,Kellen Ford,BP rep is INACTIVE
1001020,BENCHMARK ELECTRONICS,Santa Ana,1740 E Willshire Ave,92705,Chad Swygert,BP rep is INACTIVE
1007688,Benley Electronics,,"1421 N. Wanda Rd Bldg 120K Orange,",,Vicky Ma,BP rep is INACTIVE
1001197,Bestronics,san jose,2090 Fortune Drive,95131,Garrett Smith,BP rep is INACTIVE
1012076,Broadata Communications Inc (BCI),Torrance ,"21061 S Western Ave, Suite 110 and 350",,JeanPaul Chevrier,BP rep is INACTIVE
1012076,Broadata Communications Inc (BCI),"Torrance, ",1827 W 208th St,,JeanPaul Chevrier,BP rep is INACTIVE
1003280,Burrana,Calexico,1778 Zinetta Rd,92231,Edith Arizmendi,BP rep is INACTIVE
1006389,CALEX Mfg. Co. Inc. ,Concord,2401 Stanwell Drive,94520,Juan Santana,BP rep is INACTIVE
1007631,CARRIERCOMM,,82 Coromar Dr,93117,Romey Kelso,BP rep is INACTIVE
1008501,"CCM Assembly & Manufacturing, Inc",San Diego,"2275 Michael Faraday, Dr. Suite 6",92154,Oscar Medina,BP rep is INACTIVE
1012082,CMRSummit Technologies,Santa Clara,473 Sapena Ct Suite 11,95054,JeanPaul Chevrier,BP rep is INACTIVE
1006761,COMET Group,San Jose,541 E. Trimble Road,95131,Clement Liao,BP rep is INACTIVE
1008655,CUBIC,San Diego,9233 Balboa Avenue,92123,Gabriel Cisneros,BP rep is INACTIVE
1005254,CableConn,San Diego,7198 Convoy Court,92111,Matt Tanner,BP rep is INACTIVE
1005224,Cal-Comp USA,Carlsbad,1940 Camino Vida Roble,92008,Colton Hammond,BP rep is INACTIVE
1007626,Cal/Amp,Irvine,"15635 Alton Parkway, Suite 250",92618,Nicholas Tyler,BP rep is INACTIVE
1010648,CalAmp,Carlsbad ,2200 Faraday Ave ,92008,Thomas Nelson,BP rep is INACTIVE
1012078,California Integration Coordinators,Diamond Springs,6048 Enterprise Dr,95619,JeanPaul Chevrier,BP rep is INACTIVE
1008677,Canoo,Torrance, 19951 Mariner Ave,,Israel Barba,BP rep is INACTIVE
1001118,Celestica,Fremont,49235 Milmont Drive,94538,Hugo Ogalde,BP rep is INACTIVE
1007449,"Celestron, LLC.",Torrance,2835 Columbia St #3877,90503,Romey Kelso,BP rep is INACTIVE
1012083,Centon Electronics ,Aliso Viejo,27 Journey Ste. 100,92656,JeanPaul Chevrier,BP rep is INACTIVE
1006175,Charge Point,Campbell,240 East Hacienda Avenue ,95008,Pablo Hernandez,BP rep is INACTIVE
1007815,Cisco,San Jose,300 East Tasman Dr.,95134,Juan Santana,BP rep is INACTIVE
1001031,Cobham Ltd.,Huntington Beach,17831 Jamestown Lane,92647,Danielle Slaughter,BP rep is INACTIVE
1001031,Cobham Ltd.,San DIego,9404 Chesapeake Drive,92123,Danielle Slaughter,BP rep is INACTIVE
1007294,Coherent Inc.,Freemont,"48800 Milmont Drive, Fremont, CA, 94538 – United States",94538,Sally Goh,BP rep is INACTIVE
1003016,Collins Aerospace,Carlsbad,2752 Loker Ave W,92010,Chad Swygert,BP rep is INACTIVE
1003016,Collins Aerospace,Chula Vista,850 Lagoon Dr,91910,Chad Swygert,BP rep is INACTIVE
1003016,Collins Aerospace,Riverside,8200 Arlington Ave,92503,Chad Swygert,BP rep is INACTIVE
1003016,Collins Aerospace,San Dimas,936 Overland Ct.,91773,Chad Swygert,BP rep is INACTIVE
1003016,Collins Aerospace,Santa Ana,,,Chad Swygert,BP rep is INACTIVE
1003016,Collins Aerospace,Sante Fe Springs,9948 Freeman Ave,90670,Chad Swygert,BP rep is INACTIVE
1012096,Continuous Computing ,San Diego,9450 Carroll Park Drive,92121,JeanPaul Chevrier,BP rep is INACTIVE
1009248,Core-Systems,Poway,13000 Danielson St,92064,Anthoney Bramante,BP rep is INACTIVE
1002384,Corestaff Co Ltd,Santa Clara,"2065 Martin Ave, STE108",95050,Joseph Gonzales,BP rep is INACTIVE
1009094,Cosasco ,Santa Fe Springs,11841 Smith Avenue,90670 ,Alison Williams,BP rep is INACTIVE
1005614,Crane Aerospace & Electronics,Burbank,300 Winona Avenue,91504,Steven Elam,BP rep is INACTIVE
1001187,Creation Technologies,Calexico,1778 Zinetta Road - Suite F,92231,Danielle Slaughter,BP rep is INACTIVE
1007567,"Ctcoa,LLc.",,16818 Marquardt Ave.,,Vicky Ma,BP rep is INACTIVE
1002760,Curtiss-Wright,Palmdale,190 Sierra Court,93550,Shannon Contreras,BP rep is INACTIVE
1002760,Curtiss-Wright,Santa Clarita,28965 Avenue Penn,91355,Shannon Contreras,BP rep is INACTIVE
1002760,Curtiss-Wright,Santa Clarita,28965 Avenue Penn,91355,Shannon Contreras,BP rep is INACTIVE
1005166,Cyber Switching,San Jose,1921 Ringwood Ave,95131,Colton Hammond,BP rep is INACTIVE
1005291,Cypress Semiconductor,San Jose,198 Champion Court,95134,Colton Hammond,BP rep is INACTIVE
1011765,D-Wave Systems ,Palo Alto,2650 E Bayshore Rd,94303,JeanPaul Chevrier,BP rep is INACTIVE
1007596,DK Engineering,Walnut Creek,1931 San Miguel Dr #100,94596,Romey Kelso,BP rep is INACTIVE
1007057,"Datron World Communications, Inc",Vista,995 Joshua Way,92081,Colton Hammond,BP rep is INACTIVE
1005240,Delta Group Inc,San Diego,10180 Scripps Ranch Blvd,92131,Matt Tanner,BP rep is INACTIVE
1011734,"Design West Technologies, Inc.",Tustin ,2701 Dow Ave,92780,Conner Curtis,BP rep is INACTIVE
1009333,Dex,Camarillo, 3600 Via Pescador,93012,Vicky Ma,BP rep is INACTIVE
1008326,Diamond Systems Corporation,Sunnyvale,158 Commercial St.,94086,Romey Kelso,BP rep is INACTIVE
1008694,Digital Force Technologies,san diego,"6779 Mesa Ridge Rd. Suite 150,",92121,Pablo Hernandez,BP rep is INACTIVE
1004176,Dot Comps Electronics Inc,,14711 Clark Ave.,91745,Steven Elam,BP rep is INACTIVE
1003189,Dover Corporation,Cypress,10800 Valley View Street,90630,Edith Arizmendi,BP rep is INACTIVE
1003189,Dover Corporation,Grand Terrace,22069 Van Buren Street,92313,Edith Arizmendi,BP rep is INACTIVE
1005296,"Drobo, Inc",Sunnyvale,1289 Anvilwood Ave,94089,Colton Hammond,BP rep is INACTIVE
1001205,DuCommun Incorported,Carson,23301 Wilmington Avenue,90745,Steven Elam,BP rep is INACTIVE
1012095,"Dutek, Inc. ",Vista,2228 Oak Ridge Way,92081,JeanPaul Chevrier,BP rep is INACTIVE
1002952,Dytran Instruments Inc.,Chatsworth,21592 Marilla St.,91311,Bac Nguyen,BP rep is INACTIVE
1005117,E-Band Communications LLC,San Diego,17034 Camino San Bernardo,92127,Colton Hammond,BP rep is INACTIVE
1009032,E-Defense Incorporated ,San Clemente,717 Via Presa,,Sarah Colley,BP rep is INACTIVE
1009204,EXPRESS MANUFACTURING                                  ,"Santa Ana,",3519 W. Warner Ave,92704,Sara Shelby,BP rep is INACTIVE
1002517,Eaton,Irvine,9650 Jeronimo Road,92618,Danielle Slaughter,BP rep is INACTIVE
1002517,Eaton,Irvine,9650 Jeronimo Road,92618,Danielle Slaughter,BP rep is INACTIVE
1002517,Eaton,Los Angeles,4690 Colorado Blvd,90039,Danielle Slaughter,BP rep is INACTIVE
1002517,Eaton,Los Angeles,4690 Colorado Blvd.,90039,Danielle Slaughter,BP rep is INACTIVE
1002517,Eaton,San Diego,"Tijuana, MX (CBU)",92154,Danielle Slaughter,BP rep is INACTIVE
1002517,Eaton,Torrance,1111 Knox Street,90502,Danielle Slaughter,BP rep is INACTIVE
1002517,Eaton,Torrance,1111 Knox Street,90502,Danielle Slaughter,BP rep is INACTIVE
1007982,Ecolink Intelligent Technologies,Carlsbad,2055 Corte Del Nogal,92011,Romey Kelso,BP rep is INACTIVE
1010586,Econolite,Anaheim,1250 N Tustin Ave,92807,Will Hawk,BP rep is INACTIVE
1008398,Edwards Vacuum ,City of Industry,14750 Nelson Ave Unit D,91744,Vicky Ma,BP rep is INACTIVE
1002643,"Electromax, Inc.",San Jose,1960 Concourse Dr.,95131,Kellen Ford,BP rep is INACTIVE
1006356,"Electronic Treasures, LLC",Woodland Hills,"20969 Ventura Blvd, Suite 5 ",91364,Pablo Hernandez,BP rep is INACTIVE
