Offer_MPN,Source_Type,Source_MPN,Supplier,Unit_Price,Qty,Date_Code,Quote_Date,Lead_Time
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,10,875,21+ ,2026-01-20,�� STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E�,Archermind Technology (HK) Ltd,30,10000,25+,2026-01-20,
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,NX Electronics Ltd,31,10000,,2026-01-20,2 days
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,9.29,875,21+ ,2026-01-06, STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,Semihouse,21.45,4000,25+,2026-01-06,"stk,rcf"
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,12.06,875,21+ ,2025-12-28,STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,ECtronics Technology Ltd,12.06,875,21+ ,2025-12-22,STOCK
MT40A1G8SA-075:E,Market Offer,MT40A1G8SA-075:E,NX Electronics Ltd,26.5,10000,,2025-12-15,3 days
MT40A256M16GE-083E:B,Market Offer,MT40A256M16GE-083E:B ,Cystron Technology Limited,5.2,10000,21+ ,2026-01-21,2days 
MT40A256M16GE-083E:B,Market Offer,MT40A256M16GE-083E:B,NX Electronics Ltd,6,10000,,2026-01-21,3 days
MT40A256M16GE-083E:B,Market Offer,MT40A256M16GE-083E:B ,Cystron Technology Limited,4,10000,21+ ,2026-01-05,2days 
MT40A256M16GE-083E:B,Market Offer,MT40A256M16GE-083E:B,NX Electronics Ltd,3.75,10000,,2025-12-15,3 days
MT40A2G8JC-062EIT:E,Market Offer,MT40A2G8JC-062E IT:E,NX Electronics Ltd,48,4000,,2026-02-04,stock
MT40A2G8JC-062EIT:E,Market Offer,MT40A2G8JC-062E IT:E,NX Electronics Ltd,48,4000,,2026-01-28,2 days
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,29.712,4000,23+,2026-01-21,
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,31.3478,4000,23+,2026-01-21,
MT40A2G8JC-062EIT:E,Market Offer,MT40A2G8JC-062E IT:E ,Cystron Technology Limited,32,4000,23+ ,2026-01-21,2days 
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,33,2000,23+,2026-01-21,stock
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,33.91,4000,23+�,2026-01-21,
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,36.57,4000,23+,2026-01-21,
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,37.014,2000,23+,2026-01-21,"original&new ,stock"
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,38.9,4000,21+�,2026-01-21,
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,40.3,4000,21+,2026-01-21,
MT40A2G8JC-062EIT:E,VQ,MT40A2G8JC-062E IT:E,,41.5,4500,23+�,2026-01-21,
