decommit_mpn,offer_type,offer_partner,offer_key,offer_date,offer_mpn,offer_qty,offer_price,date_code,vq_count,avg_vq_cost,min_vq_cost,max_vq_cost,latest_vq_date
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,AD8676BRZ-REEL7,580,0,2420,,,,,
AD8676BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,AD8676BRZ-REEL7,580,0,2420,,,,,
ADA4522-2ARZ,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,ADA4522-2ARZ,0,0,,,,,,
ADA4941-1YCPZ-R7,Broker Stock Offer,Semihouse,1025259,2026-01-06,ADA4941-1YCPZ-R7,9000,3.19,24+,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADG1206YRUZ-REEL7,1000,0,23,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1206YRUZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADG1206YRUZ-REEL7,1000,0,2322,,,,,
ADG1212YCPZ-REEL7,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,ADG1212YCPZ-REEL7,0,0,,,,,,
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADM7150ACPZ-3.3-R7,3,0,23,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"Shenzhen Yuze Semiconductor Co., Ltd",1025595,2026-02-26,ADM7150ACPZ-3.3-R7,1500,0,,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADM7150ACPZ-3.3-R7,13,0,2347,16,5.7616,4.1000,7.2000,2026-03-25
ADM7150ACPZ-3.3-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADM7150ACPZ-3.3-R7,13,0,2347/2352,16,5.7616,4.1000,7.2000,2026-03-25
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADM7154ACPZ-1.8-R7,996,0,25,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADM7154ACPZ-1.8-R7,1125,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADM7154ACPZ-1.8-R7,1180,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADM7154ACPZ-1.8-R7,1180,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,ADM7154ACPZ-1.8-R7,0,0,,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADM7154ACPZ-1.8-R7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADM7154ACPZ-1.8-R7,1500,0,2517,,,,,
ADP5052ACPZ-R7,Broker Stock Offer,Sourceability North America,1024559,2025-09-29,ADP5052ACPZ-R7,5711,0,,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,ADR445BRZ-REEL7,1374,0,25,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,Semihouse,1025398,2026-01-23,ADR445BRZ-REEL7,0,4.84,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,ADR445BRZ-REEL7,1582,0,2505,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024680,2025-10-21,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADR445BRZ-REEL7,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024563,2025-09-30,ADR445BRZ-REEL7,1000,0,25+,,,,,
ADT7470ARQZ-REEL7,Broker Stock Offer,Southchip Limited,1025677,2026-03-08,ADT7470ARQZ-REEL7,20,0,2026+,13,3.7014,2.0000,6.0000,2025-11-18
ADT7470ARQZ-REEL7,Broker Stock Offer,Southchip Limited,1025239,2026-01-04,ADT7470ARQZ-REEL7,52,0,2026+,13,3.7014,2.0000,6.0000,2025-11-18
LT1763CDE#TRPBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,LT1763CDE#TRPBF,0,0,,11,3.1963,2.3000,3.7320,2025-11-18
LT1963AEQ#TRPBF,Broker Stock Offer,Southchip Limited,1025677,2026-03-08,LT1963AEQ#TRPBF,3750,0,2320+,,,,,
LT1963AEQ#TRPBF,Broker Stock Offer,Southchip Limited,1025470,2026-02-03,LT1963AEQ#TRPBF,6000,0,2242+,,,,,
LT1963AEQ#TRPBF,Broker Stock Offer,Southchip Limited,1025239,2026-01-04,LT1963AEQ#TRPBF,3750,0,2320+,,,,,
LT1963AEQ#TRPBF,Broker Stock Offer,Southchip Limited,1025103,2025-12-11,LT1963AEQ#TRPBF,2330,0,2242+,,,,,
LT1963AEQ#TRPBF,Broker Stock Offer,Southchip Limited,1024951,2025-11-23,LT1963AEQ#TRPBF,2330,0,2242+,,,,,
LT3045EDD#TRPBF,Broker Stock Offer,Hong Kong ShunChiu Industry Development Limited,1025473,2026-02-03,LT3045EDD#TRPBF,1700,4.16,Within 3yrs,14,3.4646,3.0000,4.3220,2025-11-12
LT3045EDD#TRPBF,Broker Stock Offer,Hong Kong ShunChiu Industry Development Limited,1025393,2026-01-22,LT3045EDD#TRPBF,5000,3.47,25+,14,3.4646,3.0000,4.3220,2025-11-12
LT3045EDD#TRPBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,LT3045EDD#TRPBF,0,0,,14,3.4646,3.0000,4.3220,2025-11-12
LT3045EDD#TRPBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024662,2025-10-17,LT3045EDD#TRPBF,10000,3.3,25+,14,3.4646,3.0000,4.3220,2025-11-12
LT3045EDD#TRPBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024661,2025-10-17,LT3045EDD#TRPBF,10000,3.3,25+,14,3.4646,3.0000,4.3220,2025-11-12
LT3080EST#TRPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LT3080EST#TRPBF,425,0,1502+,,,,,
LT3080EST#TRPBF,Broker Stock Offer,"Very Chip Co., Limited",1025692,2026-03-10,LT3080EST#TRPBF,475,0,1502+,,,,,
LT3080EST#TRPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025625,2026-03-02,LT3080EST#TRPBF,475,0,1502+,,,,,
LT3080EST#TRPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025574,2026-02-25,LT3080EST#TRPBF,475,0,1502+,,,,,
LT3080EST#TRPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025474,2026-02-03,LT3080EST#TRPBF,475,0,1502+,,,,,
LT3080EST#TRPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025444,2026-01-29,LT3080EST#TRPBF,483,0,1502+,,,,,
LT3080EST#TRPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025080,2025-12-09,LT3080EST#TRPBF,743,0,1502+,,,,,
LT8648SEV#PBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LT8648SEV#PBF,40,0,22+,16,117.2338,86.0000,154.0000,2026-03-11
LT8648SEV#PBF,Broker Stock Offer,"Very Chip Co., Limited",1025692,2026-03-10,LT8648SEV#PBF,40,0,22+,16,117.2338,86.0000,154.0000,2026-03-11
LT8648SEV#PBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025625,2026-03-02,LT8648SEV#PBF,40,0,22+,16,117.2338,86.0000,154.0000,2026-03-11
LT8648SEV#PBF,Broker Stock Offer,Hong Kong ShunChiu Industry Development Limited,1025192,2025-12-23,LT8648SEV#PBF,406,80.25,25+,16,117.2338,86.0000,154.0000,2026-03-11
LTC1668IG#PBF,Broker Stock Offer,HJC Electronic (HK) Ltd,1025809,2026-03-24,LTC1668IG#PBF,1880,68,25+,4,53.0000,45.0000,68.0000,2026-03-17
LTC1668IG#PBF,Broker Stock Offer,HJC Electronic (HK) Ltd,1025809,2026-03-24,LTC1668IG#PBF,1880,68,2Y,4,53.0000,45.0000,68.0000,2026-03-17
LTC1668IG#PBF,Broker Stock Offer,Semihouse,1025778,2026-03-18,LTC1668IG#PBF,940,46.05,26+,4,53.0000,45.0000,68.0000,2026-03-17
LTC1668IG#PBF,Broker Stock Offer,Momntech Limited,1025735,2026-03-13,LTC1668IG#PBF,2115,44,,4,53.0000,45.0000,68.0000,2026-03-17
LTC1668IG#PBF,Broker Stock Offer,HJC Electronic (HK) Ltd,1025726,2026-03-12,LTC1668IG#PBF,400,68,25+,4,53.0000,45.0000,68.0000,2026-03-17
LTC1668IG#PBF,Broker Stock Offer,HJC Electronic (HK) Ltd,1025313,2026-01-13,LTC1668IG#PBF,470,38,2Y,4,53.0000,45.0000,68.0000,2026-03-17
LTC1668IG#PBF,Broker Stock Offer,Semihouse,1025288,2026-01-09,LTC1668IG#PBF,420,34.72,25+,4,53.0000,45.0000,68.0000,2026-03-17
LTC2997HDCB#TRMPBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024661,2025-10-17,LTC2997HDCB#TRMPBF,4000,2.3,22+,,,,,
LTC2997HDCB#TRMPBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024662,2025-10-17,LTC2997HDCB#TRMPBF,4000,2.3,22+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025806,2026-03-24,LTC6993IS6-3#TRMPBF,125,0,2024+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"Very Chip Co., Limited",1025692,2026-03-10,LTC6993IS6-3#TRMPBF,125,0,2024+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025625,2026-03-02,LTC6993IS6-3#TRMPBF,125,0,2024+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025574,2026-02-25,LTC6993IS6-3#TRMPBF,128,0,2024+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025474,2026-02-03,LTC6993IS6-3#TRMPBF,128,0,2024+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025444,2026-01-29,LTC6993IS6-3#TRMPBF,128,0,2024+,,,,,
LTC6993IS6-3#TRMPBF,Broker Stock Offer,"VERY CHIP CO., LIMITED",1025080,2025-12-09,LTC6993IS6-3#TRMPBF,128,0,2024+,,,,,
LTM4623EY#PBF,Broker Stock Offer,Hong Kong ShunChiu Industry Development Limited,1025690,2026-03-09,LTM4623EY#PBF,520,0,25+,,,,,
LTM4627EY#PBF,Broker Stock Offer,HJC Electronic (HK) Ltd,1025549,2026-02-12,LTM4627EY#PBF,1190,0,22+,,,,,
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025756,2026-03-16,LTM4644EY#PBF,1020,0,25,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025615,2026-03-01,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025369,2026-01-21,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025242,2026-01-04,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025129,2025-12-15,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1025023,2025-12-02,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,Semihouse,1025010,2025-12-01,LTM4644EY#PBF,510,19.8,25+,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024921,2025-11-18,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,Semihouse,1024861,2025-11-11,LTM4644EY#PBF,1530,22,25+,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,"CHIP ENERGY INTERNATIONAL CO.,LIMITED",1024818,2025-11-05,LTM4644EY#PBF,340,0,2531,28,28.9006,24.9400,39.7900,2025-10-30
LTM4644EY#PBF,Broker Stock Offer,Sing Sun Electronics Ltd,1024804,2025-11-04,LTM4644EY#PBF,0,0,,28,28.9006,24.9400,39.7900,2025-10-30
