RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1130350,Jake Harris,1003141,Rose McGee,531AA156M250DG,Skyworks Solutions Inc.,550,5.29,,2150,,250,Reel,3-6 days,Taiwan,Yes,"Quoted MPN: 531AA156M250DGR"
1130350,Jake Harris,1002714,,CN7240-1200BG1676I-AAP-P13-G,MARV,12,165.00,,22+/23+,,6,Tray,stock,Canada,,"Factory label, new parts"
