CPC,MPN,MFR,Description,Qty,SIPOC_Price,SIPOC_LT,Reason,BPA_Price,BPA_Supplier,BPA_LT,Total_Value
"615-064170-237","RG2012P-2371-B-T5","SUSUMU","RES,SMD,0805,RG,MF,0.1%,1/10W,2.37K ROHS",3000,0.0854,"23 weeks",BPA_MORE_EXPENSIVE,0.0884,"Mouser",12,256.20
"630-259131-001","REF3012AIDBZR","TEXAS INSTRUMENTS","IC,SMD,CMOS,VREF SERIES,1.25V,SOT23-3",400,0.6395,"15 weeks",BPA_MORE_EXPENSIVE,0.7087,"DigiKey",84,255.80
"668-160560-040","0791091019","MOLEX, LLC","CONN,RCPT,SMD,VERT,40P,DUAL ROW,2MM",35,7.2500,"12 weeks",BPA_MORE_EXPENSIVE,7.4058,"DigiKey",252,253.75
"670-260022-006","0477.800MXP","LITTELFUSE","FUSE,CRTG,0.8AMP,500VAC/400VDC,5X20MM",180,1.4093,"29 weeks",BPA_MORE_EXPENSIVE,1.5401,"Mouser",133,253.67
"615-109462-191","TNPW08051K91BEEN","VISHAY","RES,SMD,0805,1.91K,0.1%,1/10W,ROHS",625,0.4050,"11 weeks",BPA_MORE_EXPENSIVE,0.4197,"DigiKey",105,253.13
"668-097649-064","100-064-133","PANCON","CONN,DIN,STR,64 POS,MALE, ROHS",55,4.5986,"27 weeks",BPA_MORE_EXPENSIVE,6.0500,"Master Electronics",182,252.92
"615-064170-196","RG2012P-1961-B-T5","SUSUMU","RES,SMD,0805,RG,MF,0.1%,1/10W,1.96K ROHS",1400,0.1801,"23 weeks",BPA_MORE_EXPENSIVE,0.2263,"Mouser",,252.14
"668-064219-015","K66X-E15S-N","KYCON, INC","CONN,RCPT HD D-SUB,RA,15 PIN FEMALE,ROHS",100,2.5121,"29 weeks",BPA_MORE_EXPENSIVE,2.6235,"DigiKey",175,251.21
"648-B66447-472","CDR31BX472BKUS","KEMET","CAP,SMD,4700PF,+/-10%TOL,100VDC,0805",400,0.6273,"56 weeks",BPA_MORE_EXPENSIVE,0.9053,"DigiKey",392,250.92
"670-338640-050","S505H-500-R","EATON","FUSE,CRTG,0.5A,600VAC/400DC,5X20MM",200,1.2523,"100 weeks",NO_QUOTE,,"",,250.46
"648-083577-106","C1206C106K3RAC","KEMET","CAP,SMD,1206,CER,X7R,10%,25V,10UF ROHS",800,0.3129,"57 weeks",BPA_MORE_EXPENSIVE,0.4036,"Arrow Americas",105,250.32
