RFQ Search Key,Buyer,Business Partner Search Key,Contact,MPN,MFR Text,Quoted Quantity,Cost,Currency,Date Code,MOQ,SPQ,Packaging,Lead Time,COO,RoHS,Vendor Notes
1131217,Jake Harris,1002310,,TQ2SS-24V,AXICOM - TE CONNECTIVITY,220,1.66,GBP,,1000,1,CUT TAPE,stock,Portugal,,Supplier SKU: 1326154
1131217,Jake Harris,1002390,,3299Z-1-202LF,BOURNS,10,0.249,,,1,1,F-TUBE,stock,Costa Rica,,Supplier SKU: 3299Z-1-202LF
