value,name
M11535,AS Raymond
M08298,ASA Electronics LLC
MFR1000063,ASB Inc
M11046,ASC Capacitors
M12306,ASD
M09006,ASME
M10657,ASNT
M10862,ASPEED Technology Inc
M12171,ASPION GmbH
M08189,ATB Special Products
M06984,ATC Semitec
M12528,ATC Training Ltd
M06507,ATEK Access Technologies
M12766,ATELIERS ORTHOS
M10563,ATEQ
M10851,ATGBICS
M05044,ATI Interco
M07239,ATI Technologies Inc
M08916,ATL Transformers Ltd
M04767,ATTO Technology Inc
M08070,ATZ Marine Technologies Ltd
M10049,AUSTERLITZ
M07379,AV Industrial Products Ltd
M11868,AVAYA
M10007,AVERLOGIC�
M00606,AVX Corporation
M07881,AVoptics Ltd
M11266,AW Clarke
M05064,AWP Services Ltd
M09180,AX stream
M10910,AXXA
M08969,AZ-Com
M11435,Aalco
M00032,Aalpa Components
M00034,Aardvark
M09576,Aaren Technology Ltd
M00035,Aaronia UK Ltd
M00036,Aavid Thermalloy
M07737,Abaco Systems Ltd
M08262,Abacus Lighting Ltd
M00037,Abacus Values
M00039,Abbatron
M12091,Abbey Clamps
M07779,Abbey Labels Ltd
M00040,Abbey Precision
M00042,Abbot Tools
M00041,Abbotec
M08146,Abbott & Co (Newark) Ltd
M11306,Abbott Fasteners Ltd
M09387,Abbott Interfast Corp
M09146,Abdex
M09352,Abeillon
M00045,Abellion
M00047,Abeltronics
M00046,Aber Electronics
M09526,Aberlink Ltd
M06734,Abex
M00048,Abiko
M00050,Able Instruments
M05156,Ablestik
M10422,Ablic
M00051,Abloy
M12378,Abnor Protector Supplies
M00054,Abnox
M00057,Abracon
M00056,Abracs
M00058,Abrasion Mechanical
M00059,Abru
M10629,Absco
M12267,Absolute Design
M09906,Absolute Industrial
M00061,Absopulse
M00063,Abtus Limited
M00064,Abus Security Centre
M12255,Ac Power
M00093,AcSoft
M10361,Acbel Polytech
M11687,Accelus
M06929,Access Flooring
M00069,Access I/O Products
M00070,Access Pacific Ltd
M08616,Access2
M00072,Accord
M00071,Accousticom
M08799,Accro Gaskets
M11553,Accton
M11949,Accu Ltd
M09669,Accu-Fix Precision Tools
M00092,AccuScrews
M07058,Accurate Anodizing Inc
M07675,Accurate Controls Ltd
M08263,Accurate Elastomer Products Inc
M06985,Accurate Screw
M00074,Accurate Technologies
M00068,Accuride
M06581,Ace Controls
M00076,Ace Controls International
M11802,Ace Engineering
M10843,Ace Fabreeka
M09071,Ace Sound Enterprise
M07651,AceOn Group
M10683,Acenix
M00077,Acer Inc
M00261,Acer Laboratories Inc
M00078,Achene Media
M10889,Achilles Aerospace Products
M08005,Acin Instrumentation BV
M10954,Acksys
M08220,Acktar Ltd
M07097,Acla-Werke GmbH
M07322,Acnodes Corporation
M00082,Acon Inc
M00083,Acopian Technical Company
M00085,Acorn Fasteners
M00084,Acorn Fire
M11962,Acorn Industrial
M09284,Acota
M00086,Acousti Products
M09456,Acrastyle Ltd
M00088,Acromag
M11415,Acroname
M00089,Acronis
M00096,Actel
M00099,ActiSense
M00095,Action Circuits
M00098,Action Storage
M08492,Actis Computer SA
M00104,Actisys
M00102,Actium Technologies
M09375,Activa Inc
M00100,Active Robots
M08691,Active Silicon Ltd
M08517,Active Technologies S.r.l
M08530,Active Window Films Ltd
M00101,Actrol
M08158,Actron
M07068,Actuation Valve & Control
M00103,Actuator
MFR1000131,Actuonix Motion Devices, Inc
M00105,Acumen
M11088,Acushnet Rubber Company
M08522,Ad-Tek Products Ltd
M00109,Adafruit
M07850,Adam Equipment Co Ltd
M12744,Adam hall
M00110,AdamTech
M00117,Adams Aviation
M11012,Adams Gas
M07570,Adams Manufacturing Corporation
M10607,Adan Limited
M00113,Adaptaflex
M00112,Adaptec
M00108,Adapted Networks
M11082,Adaptico
M00114,Adaptive Networks
M12720,Adaptsys
M00115,Adastra
M00116,Adata Technology
M00120,Adco UK
M08981,AddOn Networks
M00121,Adda Corporation
M00122,Adder
M00123,Addi-Data GmBH
M00125,Addonics
M11485,Addoptics Operations B.V
M09422,Adel Wiggins Group
M10762,Adelgo
M00126,Aden
M11548,Adept Fasteners
M00127,Adept Networks
M10165,Adesso Inc
M00128,Adesto
M00129,Adex
M00130,Adey Electronics
M00132,Adhesive Dispensing
M00131,Adhesive Tapes
M08179,Adiele
M00136,Admiral Microwave
M11299,Adobe
M10040,Adroit Precision Engineering Ltd
M12844,Adtek
M11805,Adtran
M00397,Advance Power Components
M00140,Advance Semi
M00152,Advance Tapes International Ltd
M10654,Advance Training Academy
M00111,Advanced Analog
M08216,Advanced Component Technology Ltd
M09133,Advanced Composites, Inc
M00118,Advanced Control Components
M00090,Advanced Crystal Technology
M00124,Advanced Digital Logic
M10753,Advanced Electric Flight
MFR1000109,Advanced Energy
M00147,Advanced Engineering
M07414,Advanced Fluid Solutions Ltd
M09042,Advanced Furnace Technology Ltd
M12779,Advanced Hall Sensors Ltd
M00148,Advanced Handling
M11658,Advanced Innergy Solutions Ltd
M07970,Advanced Input Devices Inc
M08564,Advanced Input Systems
M00145,Advanced Interconnection Corporation
M00143,Advanced Linear Devices
M12383,Advanced Manufacturing Services Ltd.
M07903,Advanced Materials Ltd
M12715,Advanced Micro Controls Inc
M00319,Advanced Micro Devices Inc
M04534,Advanced Micro Peripherals Ltd
M00137,Advanced Monolithic Systems
M11619,Advanced Motion Controls
M00138,Advanced Navigation
M12027,Advanced Optics Ltd
M00433,Advanced Packaging Technology of America
M09744,Advanced Paints
M06165,Advanced Photonics
M00139,Advanced Photonix Inc
M10873,Advanced Plastic Technology
M09285,Advanced Polymers Ltd
M00432,Advanced Power Technology
M00150,Advanced Product Services
M11826,Advanced Quantum gmbh
M00151,Advanced Rework
M10693,Advanced Screen Technology Ltd
M00146,Advanced Seals & Gaskets
M00499,Advanced Semiconductor Inc
M09787,Advanced Simulation Technology inc
M06096,Advanced Technology Services Inc
M00149,Advanced Thermal Solutions
M00142,Advanced Vibration Components
M00144,Advanex
M09494,Advantech
M00141,Advantech
M08266,Advantus Corp
M11514,Advec
M11493,Advent Research Materials
M07778,Adwin Spring Co Ltd
M00153,Aearo Tech
M10791,Aeco Srl
M00169,Aeds
M06891,Aerco
M07755,Aerius Marine GmbH
M00476,Aero
M00166,Aero Decals
M10906,Aero Electric Connector
M00178,Aero Fit
M00164,Aero Flex
M08267,Aero Fluid Products
M10254,Aero Seals Limited
M08275,Aero Specialities Inc
M00173,Aero Stanrew
M12665,Aero-Conesys
M12318,Aero-Electric
M00163,Aero-Electric Connector Inc
M08268,Aero-Instruments Co LLC
M12549,Aero-Naut
M00172,AeroQuip
M07256,AeroShell
M00174,Aeroantenna Technology Inc
M08704,Aerocool Advanced Technologies Corp
M11910,Aerodiode
M09145,Aerodur
M08910,Aerofin Laboratories Ltd
M00167,Aeroflex Metelics
M00168,Aerofloor
MFR1000117,Aerolux
M00184,Aeronautical & General Instruments Ltd
M08269,Aeronautical Standards Group
M00170,Aeronix
M06721,Aeropair
M08270,Aeropair Ltd
M08154,Aerosil
M08271,Aerospace Fasteners Ltd
M10882,Aerospace Logistics Ltd
M00165,Aerospace Lubricants
M08272,Aerospace Products Company
M08129,Aerospace Rivet Manufacturing Corp
M08123,Aerospace Technology
M07602,Aerospheres (UK) Ltd
M08913,Aerosweep Pty Ltd
M00171,Aerotech
M07258,Aerotight
M00162,Aerovox
M12089,Aerowave
M10305,Aetina Corporation
M00177,Afer
M08192,Affixit Adhesive Tapes
M02521,Afriso Eurogauge Ltd
M00181,Agate Products
M07403,Agate Technology LLC
M12292,Agco
M00183,Agere Systems
M00185,Agilent
M09617,Agilify UK
M07834,Agriemach Ltd
M08300,Agusta Westland
M00222,AiTech
M00189,Aiconics
M08482,Aimtec
M00213,Air & Marine Products
M10798,Air Accessories
M10525,Air Bearings Ltd
M08471,Air Bench Ltd
M12588,Air Comm Corporation
M00204,Air Compressor Services
M08894,Air Conditioning Centre
M00202,Air Control Industries
M00203,Air Cost Controls
M00206,Air Electro
M07014,Air Energy Ltd
M11471,Air Equipment
MFR1000060,Air Filters, Inc
M00210,Air Industries
M08277,Air Liquide UK Ltd
M00212,Air Logistics
M00395,Air Parts
M07727,Air Products Ltd
M00216,Air Sea
M00220,Air Techniques International
M00219,Air Technologies
M07858,Air and Ground Ltd
M07059,Air/Flex Industries Inc
M10565,Airbest
M00199,Airborn Inc
M10373,Airborne Engineering Limited
M10252,Airboss Defense
M08278,Airbourne Systems Ltd
M00200,Airbus
M07029,Aircore
M00201,Aircraft & Commercial Tools
M07270,Aircraft Braking Systems Corporation
M10130,Aircraft Deicing Systems
M08279,Aircraft Instruments Company
M08280,Aircraft Materials Ltd
M00205,Aircraft Security
M11077,Aircraft Spruce
M00207,Airedale Springs
M08651,Airetool (UK) Ltd
M00215,Airfasco
M00209,Airflow Developments Ltd
M07473,Airflow Measurements Ltd
M09474,Airfoil International
M00208,Airforme
M00211,Airius Europe
M04279,Airlines-Pneumatics
M10397,Airmar
M10977,Airone
M06505,Airpart
M00214,Airpax
M00217,Airspan
M10595,Airspy
M11854,Airstar
M00218,Airtec-Braids GmbH
M12107,Airtech Advanced Materials UK Ltd
M07179,Airthings AS
M00221,Aish Technologies
M00223,Aja Video Systems
M10641,Akai
M00224,Akasa
M00225,Aker Technology
M00226,Akiwa
M00230,Akord
M12798,Akro Valve
M02236,Akros Silicon Inc
M09328,Akyga
M00231,Akzo Nobel Aerospace Coatings
M09745,Akzonobel
M08580,Al Carter Engineering
M11913,Alamo Engineering
M12690,Alan Butcher Components
M00232,Alan Industries
M00234,Alanto
M00235,Alaris
M00237,Alba
M00238,Albert Jagger Ltd
MFR1000132,Albion Inc.
M00239,Albis Opto
M08827,Albrecht Jung GmbH & Co KG
M00240,Albright International
M00242,Alcatel
M09782,Alcatraz Interlocks
M08281,Alco Electronic Products Inc
M05926,Alco Valves Group
M00244,Alcoa Fastening Systems Ltd
M00081,Alcoa Global Fasteners Inc
M00260,Alcoa Huck
M00245,Alcobra
M00246,Alcofermbrew
M00247,Alcom
M00241,Alcor
M00243,Alcoswitch
M06522,Alcotec
M00248,Aldetec
M00250,Alec Tranti
M00251,Alemite
M00252,Alenia Spa
M00253,Alesis Semiconductor
M00254,Alex Mangle
M00257,Alfa Laval
M00256,Alfatronix
M00258,Alglas
M00259,Algra
M08557,Alias Srl
M04486,Alicat Scientific Inc
M08654,Alien Technology LLC
MFR1000121,Alif Semiconductor
M08282,Align Aerospace France SAS
M00263,Alison Microwave Ltd
M08085,Aljac Fuelling Components Ltd
M00264,Aljo
M00265,Alker Optical Equipment
M00268,All Batteries
M00274,All Labels
M00275,All Metal
M06773,All Motion
M09806,All Pond Solutions
M00294,All Psu Ltd
M11631,All Rack
M00280,All Stainless
M00304,All Terrain Tyre
M12192,All green
M08283,All-States Inc
M07257,All-System Aerospace International Inc
M00283,All-Vac Industries
M00233,Allan Aircrafts
M11550,Allectra
M00269,Allegro Microsystems LLC
M00267,Allen Aircraft
M00236,Allen Avionics
M11829,Allen Bradley
M00249,Allen-Bradley
M00270,Allen-Vanguard
M09618,Allendale Ultrasonics
M08635,Allenwest Brighton Ltd
M00255,Allfast Fastening Systems Inc
M00271,Allfix
M07299,Alliance Electronics Ltd
M00272,Alliance Memory Inc
M00262,Alliance Semiconductor Corporation
M09747,Allied Air Services Ltd
M00530,Allied Components International
M11326,Allied Connectors
M00273,Allied Electronics
M09638,Allied Filter Systems
M00535,Allied Telesis
M00282,Allied Telesyn
M10609,Allied Tooling
M00284,Allied Wire
M00306,Allied Witan Company (Alwitco)
M00266,Allison Engineering Ltd
M09052,Alloy Computer Products Australia
M00276,Alloywire
M00277,Allport Packaging
M00278,Allpumps
M00279,Allrol Solutions
M08789,Allsafe GmbH & Co KG
M11831,Allscot Ltd
M09636,Allstates R&T Lockport
M00281,Allthread Plastics Ltd
M00303,Alltrade
M08478,Allwinner Technology Co
M09211,Almig
M00285,Almit
M10807,Alogic
M00292,Alpha & Omega Semiconductor
M00291,Alpha 3 Manufacturing
M09655,Alpha Adhesives
M00287,Alpha Company Ltd
M00288,Alpha Data
M12516,Alpha Electrical Rewinds
M06994,Alpha Electronics
M00289,Alpha Industries
M07421,Alpha Metals Ltd
M07607,Alpha Micro Components Ltd
M11643,Alpha Sync
M00295,Alpha Wire
M11143,Alphacool
M11530,Alphatek Ltd
M00286,Alpine
M06501,Alplas Ltd
M00293,Alps
M00296,Alrad
M08685,Alrose Products Ltd
M00297,Alstom
M07709,Alta Data Technologies LLC
M00299,Altair Uk
M10380,Altec Automotive
M00298,Altech
M10278,Altech Corporation
M08213,Altecnic Ltd
M00301,Alten
M08151,Alter Technology
M00300,Altera
M10441,Altium UK Ltd
M10019,Altman Lighting
M00302,Alto
M07936,Altron Communications Equipment Ltd
M09288,Altronic Research Inc
M11922,Altronics
M10904,Altuglas
M12752,Aluminium Channel
M00305,Aluminium Shapes
M10631,Aluminium Warehouse
M10077,Alustar
M07749,Alvatek Electronics LLC
M00307,Alwayse Engineering
M00308,Alzashop
