Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
08051A220FAT2A,"CAP,0805,CER,C0G,1%,100V,22PF ROHS",AVX Corporation,3820,2226,,USD,Astute Electronics Inc. LAM STL,LAM7.3.15
08053C105KAT2A,Cap 1uF +/-10% 25V X7R 0805,AVX Corporation,135,1814,,,Astute Electronics TAX Excess/Consignment,G06A01
08055A102FAT2A,08055A102FAT2A,AVX Corporation,2796,1914,,,Astute Electronics TAX Excess/Consignment,G07D01
08055A331KAT2A,CAP CER 330PF 50V C0G/NP0 0805,AVX Corporation,13777,"1911, 1839",,,Astute Electronics TAX Excess/Consignment,G01B02
08055A560JAT2A,Ceramic Capacitors,KYOCERA AVX,3807,,,,Astute Electronics GEA Excess/Consignment,F02E01
08055C102KAT2A,"CAP,SMD,CER,1000PF,0805,10%,X7R,50V,ROHS",Kemet Electronics Corp,2891,1902,,,Astute Electronics SPA Excess/Consignment,G06E01
08055C104KAT2A,Ceramic Capacitor Multilayer 5,KYOCERA AVX,425,1839,,,Astute Electronics TAX Excess/Consignment,G01B03
08055C183MAT2A,Capacitor,Kyocera Connector Products Corp,3858,,,,Astute Electronics GEA Excess/Consignment,F02E03
08055C473JAT2A,"Capacitors, chip",AVX Corporation,48000,"1710,1745",,,Astute Electronics Inc. ATX Excess,G02C03
0805L010YR,"FUS, PTC RST, 15V, 0.1A, 0805, SMD",Littelfuse Inc,4000,,,,Astute Electronics Inc. ATX Excess,G02C03
09.03290.01,"SW,PCB,SLIDE ACTR,0.5A,12V,AXIAL PIN,BLK",Eoz Solutions,184,2402,,USD,Astute Electronics Inc. LAM STL,LAMBLK.9.4
09552156612741,"CONN,RCPT,D-SUB,SIZE 2,15POSN,5A,STR,SMD",Harting Electronics GmBH & Co KG,139,2416,3.47,USD,Astute Electronics Inc. LAM 3PL,LAM13.10.2
0KLK005.T,FUSE CARTRIDGE 5A 600VAC/500VDC,Littlefuse Inc,100,19973,,,Astute Electronics TAX Excess/Consignment,G04B01
0KLK005.T,FUSE CARTRIDGE 5A 600VAC/500VDC,Littlefuse Inc,70,19974,,,Astute Electronics TAX Excess/Consignment,G04B01
0KLK005.T,FUSE CARTRIDGE 5A 600VAC/500VDC,Littlefuse Inc,830,n/a,,,Astute Electronics TAX Excess/Consignment,A01B01
0KLK005.T,FUSE CARTRIDGE 5A 600VAC/500VDC,Littlefuse Inc,4900,"L9C26F*, 100219*, 091019*, L9C23F*, 081319*",,,Astute Electronics TAX Excess/Consignment,A02A01
1.5SMC18A,"DIODE,TVS,18V ,1.5KW,SMC,ROHS","Littelfuse, Inc.",100,,0.322,USD,Astute Electronics Inc. LAM 3PL,LAMBLK.4.2
1.5SMC30A,TVS Diode Single Uni-Dir 25.6V 1.5KW 2-P,"Littelfuse, Inc.",2254,2352,0.18,USD,Astute Electronics Inc. LAM 3PL,LAM13.6.7
‎1.5SMC36A‎,"DIODE,TVS,36V ,1.5KW,SMC,ROHS",Littelfuse Inc,3000,2229,,USD,Astute Electronics Inc. LAM STL,LAM13.10.1
1.5TB-USD-HIGH ENDURANCE-FS,1.5TB-USD-HIGH ENDURANCE-FS,Phison,2,,133,USD,Astute Electronics Inc,RMA
1.5TB-USD-HIGH ENDURANCE-FS,1.5TB-USD-HIGH ENDURANCE-FS,Phison,176,,99,USD,Astute Electronics Inc,HK-C01
1.5TB-USD-HIGH ENDURANCE-FS,1.5TB-USD-HIGH ENDURANCE-FS,Phison,860,NA,103,USD,Astute Electronics Inc,HK-E03
100-006-672-008,CONN,Samtec Inc,12,,,,Astute Electronics GEA Excess/Consignment,F01C03
10028916-4554P00LF,TRANSFORMER  SM,Fci,600,,,,Astute Electronics Inc. ATX Excess,G04B03
