Item,ItemDescription,Name,Lot Quantity,Date Code,Lot Unit Cost,Currency,Warehouse Name,Location
739-103,"TERM BLK,3P,5MM PITCH,300V,10A,PCB MT",Wago,280,,,USD,Astute Electronics Inc. LAM STL,LAMBLKB.7.5
7443551130,"IDCTR,SMD,WW,H CUR,1.3UH,±20%,25A,59MHZ",Wurth Elektronik GmBH & Co KG,400,2022-06-28,,USD,Astute Electronics Inc.,LAMBLK.12.12
7443551370,"IDCTR,SMD,WW,3.7UH,±20%,17A,SHLD,1365",Wurth Elektronik GmBH & Co KG,350,2416,,USD,Astute Electronics Inc. LAM STL,LAM13.7.1
74457068,"INDUCTOR, 6.8UH, 20%, SMD",Wurth Elektronik GmBH & Co KG,140,,1.941,USD,Astute Electronics Inc.,DSQR
7447480102,"IDCTR,WOUND,RDL,1MH,800MA,1.15 OHM,THT",Wurth Elektronik GmBH & Co KG,100,2217,,USD,Astute Electronics Inc.,LAMBLK.12.10
7466004R,"TERM,SMD,PCB,WIRE TO BD,M4 THD,50A,BRS",Wurth Elektronik GmBH & Co KG,387,2024-01-23,,USD,Astute Electronics Inc. LAM STL,LAM13.8.2
7466-3,7466-3,Sas,139,N/A,,,Astute Electronics GEA Excess/Consignment,G07E02
747840-4,(CE/) CONN 9-POS 2-ROW D-SUB M,TE Connectivity,748,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
747842-4,(CE/) CONN 25-POS 2-ROW D-SUB,TE Connectivity,88,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
747842-4,(CE/) CONN 25-POS 2-ROW D-SUB,TE Connectivity,650,,,USD,Astute Electronics Inc. - LAM Consignment,QC INSPECT
747844-4,"CONN,RCPT 9P D-SUB RTANG","Kycon, Inc.",190,,,USD,Astute Electronics Inc. LAM STL,LAMTY.9.6
747846-4,"CONN,RCPT 25P D-SUB RTANG",TE Connectivity Ltd,249,,,USD,Astute Electronics Inc. LAM STL,LAMTY.8.2
747847-4,"CONN,RCPT 37P D-SUB RTANG",TE Connectivity Ltd,520,,,USD,Astute Electronics Inc. LAM STL,LAMSHELF.1.2
747-LF2104NTR,Gate Drivers Half-Bridge DRVR 130mA SOIC,"Littelfuse, Inc.",148,2152,,USD,Astute Electronics Inc. LAM STL,LAMBLK.11.3
747-LF2104NTR,Gate Drivers Half-Bridge DRVR 130mA SOIC,"Littelfuse, Inc.",12,,0.84314,USD,Astute Electronics Inc. LAM STL,QC INSPECT
7499511611A,IC FIFO MEMORY 512X9,Wurth Elektronik GmBH & Co KG,125,,,,Astute Electronics Inc. ATX Excess,G07C02
74ABT541D,Buffer-Driver Octal Tristate 74ABT541D,Philips,1955,,,,Astute Electronics Inc. ATX Excess,G01C03
74ACT11030D,"IC,SMD,8 INPUT,NAND,14PIN,4.5-5.5V,SOIC",Texas Instruments,499,1820,,USD,Astute Electronics Inc. LAM STL,LAMTB.7.1
74F08SC,"Logic Gates Qd 2-Input AND Gate, Obsolet",On Semiconductor,350,,,,Astute Electronics GEA Excess/Consignment,F02E01
74HC123N,IC 74HC123 DIP16 MLTVBTR,NXP Semiconductors,9,,,USD,Astute Electronics Inc. ATX Excess,G02A02
"74HC245D,652",IC TXRX NON-INVERT 6V 20SO,NXP Semiconductors,25,N/A,,,Astute Electronics TAX Excess/Consignment,G05B02
"74HC245D,653",IC TXRX NON-INVERT 6V 20SO,NXP Semiconductors,2340,"1635, 1923",,,Astute Electronics TAX Excess/Consignment,G01C03
"74HC541PW,118","IC,BUFFER,NON-INVERT,6V,20TSSOP",Nexperia,2500,,0.12,USD,Astute Electronics Inc,HK-A02
"74HC74D,653",IC FF D-TYPE DUAL 1BIT 14SO,NXP Semiconductors,7223,"1923, 1925",,,Astute Electronics TAX Excess/Consignment,G05C03
"74HC74D,653",IC FF D-TYPE DUAL 1BIT 14SO,NXP Semiconductors,2500,1919,,,Astute Electronics TAX Excess/Consignment,G05C03
"74HC74D,653",IC FF D-TYPE DUAL 1BIT 14SO,NXP Semiconductors,10000,1934,,,Astute Electronics TAX Excess/Consignment,G05A02
"74HC74D,653",IC FF D-TYPE DUAL 1BIT 14SO,NXP Semiconductors,293,,,,Astute Electronics TAX Excess/Consignment,G05C03
"74HC74D,653",IC FF D-TYPE DUAL 1BIT 14SO,NXP Semiconductors,2185,,,,Astute Electronics TAX Excess/Consignment,G05A02
"74HC85D,653","IC,SMD,74HC85 4-BIT COMP SO16,ROHS",NXP Semiconductors,2495,2337,,USD,Astute Electronics Inc. LAM STL,LAM13.7.3
74HCT4851PW/S400,.,Nexperia,2500,,11.66,USD,Astute Electronics Inc.,F05D01
74LCX125MTC,"IC,SMD,QUAD BFR,NON INVERTING,TSSOP-14",Fairchild Semiconductor,137,2230,,USD,Astute Electronics Inc. LAM STL,LAMTB.8.3
"74LVC1G07GW,125",Buffer/Driver 1-CH Non-Inverting Open Dr,Nexperia,26994,,,,Astute Electronics Inc. ATX Excess,G08E04
750314782,,Wurth Elektronik GmBH & Co KG,100,,,,Astute Electronics Inc. ATX Excess,G07B03
75145K32,75145K32,Mcmaster-Carr,4,,3.77,USD,Astute Electronics Inc.,QC INSPECT
75145K32,75145K32,Mcmaster-Carr,10,,3.77,USD,Astute Electronics Inc. - FLK BTX,FLK1SH3
75145K32,75145K32,Mcmaster-Carr,1025,,3.77,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
752083102JPTR7,RES ARRAY 4 RES 1K OHM 8SRT,CTS Corp,868,2012,,,Astute Electronics GEA Excess/Consignment,G05B01
752091103JP,RES ARRAY 8 RES 10K OHM 9SRT,CTS Corp,150,2033,,,Astute Electronics GEA Excess/Consignment,G06B01
752091222JPTR7,RES ARRAY 8 RES 2.2K OHM 9SRT,CTS Corp,1313,2034,,,Astute Electronics GEA Excess/Consignment,G01D04
753091103JPTR13,CTS 753091103JPTR13,CTS Corp,643,2025,,,Astute Electronics GEA Excess/Consignment,G03B02
753091103JPTR13,CTS 753091103JPTR13,CTS Corp,1799,2025,,,Astute Electronics GEA Excess/Consignment,G03B03
7566K103,"CABLE TIE MOUNT,0.20"" X 0.06"" TIE, #4",Mcmaster-Carr,80,,0.4345,USD,Astute Electronics Inc.,STOCK
7566K103,"CABLE TIE MOUNT,0.20"" X 0.06"" TIE, #4",Mcmaster-Carr,20,,0.4345,USD,Astute Electronics Inc.,SLS01
7566K103,"CABLE TIE MOUNT,0.20"" X 0.06"" TIE, #4",Mcmaster-Carr,80,,,USD,Astute Electronics Inc.,SLS05
757D151,PLEXUS 757D151,Not Known Yet,201,2102,,,Astute Electronics GEA Excess/Consignment,G06A03
766143683GP,Network and Array Resistors,CTS Corp,790,,,,Astute Electronics GEA Excess/Consignment,F02E03
76624-101,RECEPTACLE 22-26AWG,Amphenol Connex,190,,0.6,USD,Astute Electronics Inc.,MRR
76780,Audio Transformer,Pico Tools,33,,,,Astute Electronics GEA Excess/Consignment,F01C02
768230344,768230344,Molex LLC,3000,,0.17115,USD,Astute Electronics Inc. - FLK BTX,flock-shelf
768230344,768230344,Molex LLC,3,,0.28,USD,Astute Electronics Inc. - FLK BTX,KS9
768230344,768230344,Molex LLC,200,,0.17115,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
768230344,768230344,Molex LLC,10,,0.16421,USD,Astute Electronics Inc.,F08A01
768230344,768230344,Molex LLC,87,,0.15653,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
76HPSB02GWRT,"SW,SMD,DIP STRAIGHT 2 POLES,ROHS",Grayhill,500,2037,,USD,Astute Electronics Inc. LAM STL,LAM13.3.2
76HPSB04GWRT,"SW,SMD,DIP STRAIGHT 4 POLES,ROHS",Grayhill,500,2415,,USD,Astute Electronics Inc. LAM STL,LAM13.8.6
76HPSB06GWRT,"SW,SMD,DIP STRAIGHT 6 POLES,ROHS",Grayhill,487,2216,,USD,Astute Electronics Inc. LAM STL,LAM13.2.10
76HPSB10GWRT,"SW,SMD,DIP STRAIGHT 10 POLES,ROHS",Grayhill,480,2334,,USD,Astute Electronics Inc. LAM STL,LAM13.7.9
76PSB08ST,SWITCH PIANO DIP SPST 150MA 30V,Grayhill,1787,N/A,,,Astute Electronics TAX Excess/Consignment,G03C01
76SB03T,Switch DIP ON OFF SPST 3 Raised Rocker 0,Grayhill,216,2338,,USD,Astute Electronics Inc. LAM STL,LAMTB.10.12
76SB08ST,Switch DIP ON OFF SPST 8 Raised Rocker 0,Grayhill,469,2310,,USD,Astute Electronics Inc. LAM STL,LAMTB.5.4
7779,"TERM,PCB,6-32THD,15A,THM,HORIZ MT",Keystone,100,2232,,USD,Astute Electronics Inc. LAM STL,LAMBLK.6.6
7781,Screw Terminal 14-22AWG Brass 8.33mm Tin,Keystone,1500,,,,Astute Electronics TAX Excess/Consignment,G06E02
7781,Screw Terminal 14-22AWG Brass 8.33mm Tin,Keystone,500,,,,Astute Electronics TAX Excess/Consignment,G06E02
7781,Screw Terminal 14-22AWG Brass 8.33mm Tin,Keystone,2551,,,,Astute Electronics TAX Excess/Consignment,G06E02
7781,Screw Terminal 14-22AWG Brass 8.33mm Tin,Keystone,5000,,,,Astute Electronics TAX Excess/Consignment,G06E02
7786,"TERM,PCB,6-32,30A",Keystone,100,2304,,USD,Astute Electronics Inc. LAM STL,LAMBLK.7.4
7787,TERM SCREW 10-32 6 PIN PCB,Elco,41,N/A,,,Astute Electronics GEA Excess/Consignment,G07E02
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,2,,768.09,USD,Astute Electronics Inc.,QC INSPECT
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,2,,767.15,USD,Astute Electronics Inc.,QC INSPECT
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,6,,767.15,USD,Astute Electronics Inc.,QC INSPECT
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,3,,758.09,USD,Astute Electronics Inc.,QC INSPECT
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,16,,767.15,USD,Astute Electronics Inc.,MRR
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,6,,767.15,USD,Astute Electronics Inc.,QC INSPECT
779011-01,ANALOG INPUT MODULE 4CH +/-10V 100 KS/S,National Instruments,1,,776.99,USD,Astute Electronics Inc.,QC INSPECT
78207-108,CONN HEADER R/A 8POS 2.54MM,Amphenol Corp,4260,N/A,,,Astute Electronics GEA Excess/Consignment,G05D02
78211-015,CONN RCPT HSG 15POS 2.54MM,TE Connectivity Ltd,2335,"1152, 1230",,,Astute Electronics GEA Excess/Consignment,G07B01
799-101080,"LATCH,SPRING ASSY,25 POSITION",Conec,1000,,,USD,Astute Electronics Inc. ATX Excess,G06E04
7B9T2-F3022-0160,7B9T2-F3022-0160,Cevians,50,N/A,,,Astute Electronics GEA Excess/Consignment,G04C02
80HCPS1616CHMGI,IC SERIAL IO SW 16PORT 16LANE,Renesas Electronics Corp,60,2209,95,USD,Astute Electronics Inc,HK-E02
80HCPS1616CHMGI,IC SERIAL IO SW 16PORT 16LANE,Renesas Electronics Corp,60,2209,95,USD,Astute Electronics Inc,HK-E02
8191,TERM SCREW 6-32 4 PIN PCB,Keystone,500,n/a,,,Astute Electronics TAX Excess/Consignment,G06D02
8191,TERM SCREW 6-32 4 PIN PCB,Keystone,3610,1909,,,Astute Electronics TAX Excess/Consignment,G06D02
8321,"SPCR,NYL,LED,T-1 3/4,BI-LEAD,0.30 IN LG",Keystone,200,2119,,USD,Astute Electronics Inc. LAM STL,LAMBLK.6.7
8403606JA,SRAM Chip Async Single 5V 16K-Bit 2K x 8,Intersil Corp,14,,,,Astute Electronics GEA Excess/Consignment,F01C03
8407201RA,"Microcircuit, Digital",Texas Instruments,17,,,,Astute Electronics GEA Excess/Consignment,F02A02
84136012A,"Microcircuit, Digital",Texas Instruments,5,,,,Astute Electronics GEA Excess/Consignment,F01A01
8416201CA,Shift Register Single 8-Bit Serial to Pa,Texas Instruments,31,,,,Astute Electronics GEA Excess/Consignment,F02E01
84WR200KLF,"RES,SMD,POT,12T,T-ADJ,0.25SQ,200K,ROHS",Bi Technologies,500,2348,,USD,Astute Electronics Inc. LAM STL,LAMTB.3.1
84WR20KLF,"RES,SMD,POT,12T,T-ADJ,0.25SQ,20K,ROHS",Vishay Semiconductors,250,2328,,USD,Astute Electronics Inc. LAM STL,LAMTB.3.4
84WR20KLF,"RES,SMD,POT,12T,T-ADJ,0.25SQ,20K,ROHS",Vishay Semiconductors,250,2328,,USD,Astute Electronics Inc. LAM STL,LAMTB.3.4
84WR2KLF,"RES,SMD,POT,12T,T-ADJ,0.25SQ,2K,ROHS",Vishay Semiconductors,500,2339,,USD,Astute Electronics Inc. LAM STL,LAMTB.3.2
8550701RA,Flip Flops Octal D-type Edge-Triggered F,Texas Instruments,16,1237,,,Astute Electronics GEA Excess/Consignment,G08A01
86177-4,"CONNECTOR,PLUG,ELECTRICAL",TE Connectivity,11,,7,USD,Astute Electronics Inc.,DSQR2
8631CQD2,SWITCH PUSH SPST-NO 0.5A 120V,C&K Switches,677,1902,,,Astute Electronics TAX Excess/Consignment,A01F01
8631CQD2,SWITCH PUSH SPST-NO 0.5A 120V,C&K Switches,190,1902,,,Astute Electronics TAX Excess/Consignment,A01F01
87-011279-01 E,Parker Compumotor Micro Step Drive,Parker,2,,,,Astute Electronics Inc. ATX Excess,G08F03
87043-2,Ceramic capacitor,Union Technology,132,1513,,,Astute Electronics GEA Excess/Consignment,G05D02
87043-69,CAP: DMC-X7R 68nF 1KV 10%,Kyocera Connector Products Corp,10,,,USD,Astute Electronics Inc. ATX Excess,G07E01
87043-70,"Capacitor, fixed, ceramic, multilayer, h",Union Technology,84,1945,,,Astute Electronics GEA Excess/Consignment,G05D01
87077-2,"KEY,CONNECTOR,ELEC",TE Connectivity,44,,0.4452,USD,Astute Electronics Inc.,DSQR1
87437-0573,CONNECTOR PIN,Molex LLC,3600,1701,,,Astute Electronics Inc. ATX Excess,G06F04
87438-0443,"CONN,HDR,SMD,RTANG,1.5MM PITCH,4CKT",Molex LLC,995,2212,,USD,Astute Electronics Inc. LAM STL,LAM13.2.7
87831-1420,Conn Shrouded Header (4 Sides) HDR 14 PO,Molex LLC,32,2337,,USD,Astute Electronics Inc. LAM STL,LAMTB.1.12
88E1510A0NNB2I000,IC TXRX FULL/HALF 4/4 48QFN,Marvell Semiconductor Inc,255,2241,9.78482,,Astute Electronics Inc,HK-G02
88E1512-A0-NNP2I000,IC XCVR 88E15 ALASKA SINGLE GI,Marvell Semiconductor Inc,2599,2252,4.88,USD,Astute Electronics Inc,HK-G02
88E1512-A0-NNP2I000,IC XCVR 88E15 ALASKA SINGLE GI,Marvell Semiconductor Inc,2599,2524,5.17,USD,Astute Electronics Inc,HK-C02
900-2G133-0010-000,900-2G133-0010-000,Nvidia,20,,6800,USD,Astute Electronics Inc,TRANSIT
901-144,"CONN,RCPT,SMA,STR,PCB,4 POST, ROHS",Amphenol Corp,180,2406,,USD,Astute Electronics Inc. LAM STL,LAMBLKB.1.2
90373A114,"SCR CAP HEX HD M10 X 35 MM L,",Mcmaster-Carr,20,,1.293,USD,Astute Electronics Inc.,SLS03
90373A114,"SCR CAP HEX HD M10 X 35 MM L,",Mcmaster-Carr,4,,,USD,Astute Electronics Inc.,F04C02
905-105,Spacer Round 3.7mm-ID 6.4mm-OD 2.7mm-LG,Bivar,5000,1916,,,Astute Electronics TAX Excess/Consignment,G07C02
905-105,Spacer Round 3.7mm-ID 6.4mm-OD 2.7mm-LG,Bivar,4351,,,,Astute Electronics TAX Excess/Consignment,G07C02
9062-26-27,"KEEPER, LAMINATION",Tempel Steel,5.2,,,,Astute Electronics Inc. ATX Excess,A01B01
90EN1,"Lens,Light",Safran,14,,,,Astute Electronics Inc. ATX Excess,QC INSPECT
91241A414,91241A414,Mcmaster-Carr,25,N/A,,,Astute Electronics TAX Excess/Consignment,A01F01
91241A414,91241A414,Mcmaster-Carr,1994,n/a,,,Astute Electronics TAX Excess/Consignment,A01F01
91601-316LF,"CONN,SMD,RCPT,16POSN,1ROW,.1IN PITCH",Amphenol ICC,2004,2343,,USD,Astute Electronics Inc. LAM STL,LAMTB.3.6
91601-316LF,"CONN,SMD,RCPT,16POSN,1ROW,.1IN PITCH",Amphenol ICC,6,,1.40448,USD,Astute Electronics Inc. LAM STL,QC INSPECT
91772A145,91772A145,Mcmaster-Carr,200,N/A,,,Astute Electronics TAX Excess/Consignment,G05D01
9180-15,"15"" fan",Not Known Yet,31,2017,,,Astute Electronics GEA Excess/Consignment,G02A01
918016,918016,Not Known Yet,110,2007,,,Astute Electronics GEA Excess/Consignment,G04F03
9200,9200,Microsemi Corp,22,2019,,,Astute Electronics GEA Excess/Consignment,G06D04
92000A116,92000A116,Mcmaster-Carr,70,,0.0703,USD,Astute Electronics Inc.,OSQ
92000A116,92000A116,Mcmaster-Carr,100,,0.0703,USD,Astute Electronics Inc.,OSQ
92000A116,92000A116,Mcmaster-Carr,30,,7.03,USD,Astute Electronics Inc.,F08A01
92000A116,92000A116,Mcmaster-Carr,6237,,0.0703,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
92000A116,92000A116,Mcmaster-Carr,6200,,0.0703,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
92147A009,"SPLIT LOCK WASHER,",Mcmaster-Carr,980,,,USD,Astute Electronics Inc.,F04C02
92148A150,92148A150,Mcmaster-Carr,300,,0.0192,USD,Astute Electronics Inc. - FLK BTX,KS4
92148A150,92148A150,Mcmaster-Carr,30,,1.92,USD,Astute Electronics Inc.,F08A01
92148A150,92148A150,Mcmaster-Carr,6200,,0.0192,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
92148A150,92148A150,Mcmaster-Carr,70,,0.0192,USD,Astute Electronics Inc.,OSQ
92148A150,92148A150,Mcmaster-Carr,100,,0.0192,USD,Astute Electronics Inc.,QC INSPECT
92196A246,"SOCKET HEAD SCREW, 10-24, .875 L,",Mcmaster-Carr,24,,,USD,Astute Electronics Inc.,F04C02
9290-05-00,"RLY,SMD,REED,SPST-NO,5VDC COIL V,GULLWG",COTO_TEC,109,2405,,USD,Astute Electronics Inc. LAM STL,LAMTB.8.4
93135A304,93135A304 RoHS [PD],Not Known Yet,206,N/A,,,Astute Electronics TAX Excess/Consignment,G07E02
9330-4,9330-4,API Delevan,74,"2102, 2052",,,Astute Electronics GEA Excess/Consignment,G02A01
9339,9339,Vishay Intertechnology Inc,671,1518,,,Astute Electronics GEA Excess/Consignment,G01A03
93475A210,93475A210,Mcmaster-Carr,6300,,0.0219,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
93625A100,93625A100,Mcmaster-Carr,6200,,0.0694,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
93625A100,93625A100,Mcmaster-Carr,100,,0.0694,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
93625A100,93625A100,Mcmaster-Carr,300,,0.0694,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
93625A100,93625A100,Mcmaster-Carr,100,,0.0694,USD,Astute Electronics Inc.,QC INSPECT
93625A100,93625A100,Mcmaster-Carr,30,,6.94,USD,Astute Electronics Inc.,OSQ
93625A100,93625A100,Mcmaster-Carr,70,,0.0694,USD,Astute Electronics Inc.,OSQ
937-000-10M,AIRCRAFT COCKPIT LIGHT,Not Known Yet,2,,,,Astute Electronics GEA Excess/Consignment,G08E04
9380846-01R,9380846-01R Rev.B; custom,Not Known Yet,240,,,,Astute Electronics TAX Excess/Consignment,G07E04
93LC56BT-I/OT,iC 2K SERIAL INTFC. EEPROM SOT23-6,Microchip Technology Inc,200,2342,,USD,Astute Electronics Inc. LAM STL,LAM7.8.27
9402-0LSL-1,Thin Trim Capacitor,Johanson,30,N/A,,,Astute Electronics GEA Excess/Consignment,G03B02
941C12P15K,Film Capacitors 1200V 0.15uF 10% tol,Cornell Dubilier,52,N/A,,,Astute Electronics GEA Excess/Consignment,G05D02
941C6W1K,Film Capacitors 1UF 600V 10%,Cornell Dubilier,1000,1330,,,Astute Electronics GEA Excess/Consignment,A01D01
9540273-02R,9540273-02R Rev. A,Not Known Yet,400,,,,Astute Electronics TAX Excess/Consignment,G06E03
9550591-01R,9550591-01R Rev. A,Not Known Yet,40,,,,Astute Electronics TAX Excess/Consignment,G07D04
9550592-01R,9550592-01R Rev. A,Not Known Yet,331,,,,Astute Electronics TAX Excess/Consignment,ATX21R
9550596-01R,9550596-01R Rev. A,Not Known Yet,1216,,,,Astute Electronics TAX Excess/Consignment,A02D01
9551666816741,"CONN,SMD,D-SUB,MR,7.3MM,9P ROHS",Harting Ltd,142,2346,,USD,Astute Electronics Inc. LAM STL,LAM13.7.7
9552666816741,CONN D-SUB PLUG 15P SMD R/A SLDR,Harting Ltd,95,2315,,USD,Astute Electronics Inc. LAM STL,LAM13.4.10
9552666816741,CONN D-SUB PLUG 15P SMD R/A SLDR,Harting Ltd,105,Inconclusive,,USD,Astute Electronics Inc. LAM STL,LAM13.4.10
95610A130,95610A130,Mcmaster-Carr,300,,0.0629,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
95610A130,95610A130,Mcmaster-Carr,6200,,0.0629,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
9564517512,"CONN,RCPT,DSUB,HD,ST,FEM,62P,ROHS",Harting Electronics GmBH & Co KG,100,,,USD,Astute Electronics Inc. LAM STL,LAMTY.7.3
96640A141,96640A141,Mcmaster-Carr,700,,0.1998,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
96640A141,96640A141,Mcmaster-Carr,4100,,0.1998,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
96640A141,96640A141,Mcmaster-Carr,3416,,0.1998,USD,Astute Electronics Inc. - FLK BTX,KS2
971080354,971080354,Wurth,102,,0.3951,USD,Astute Electronics Inc.,F08A01
971080354,971080354,Wurth,300,,0.417,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
971080354,971080354,Wurth,6200,,0.3753,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
971080471,HEX STANDOFF M4X0.7 STEEL 8MM,WURTH ELEKTRONIK,671,,0.345,USD,Astute Electronics Inc.,QC INSPECT
972,FUSEHOLDER,3M United Kingdom Plc,36,1832,,,Astute Electronics GEA Excess/Consignment,G01A03
9722,9722,Epm Papst,50,1723,,,Astute Electronics GEA Excess/Consignment,G01A03
98689A112,WASHER-D3.2-A2,Mcmaster-Carr,28,,,USD,Astute Electronics Inc.,LSQ
99461A440,99461A440,Mcmaster-Carr,4100,,0.5572,USD,Astute Electronics Inc. - FLK BTX,QC INSPECT
99461A440,99461A440,Mcmaster-Carr,4032,,0.544,USD,Astute Electronics Inc. - FLK BTX,FLK1SH2
A1082-5-0-0,"GND-SPACER,HEX,.112-40X0.156",Positronic,178,,,USD,Astute Electronics Inc. ATX Excess,G07A02
A1082-7-0-0,"GND-SPACER,HEX,.112-40X.500",Positronic,218,,,USD,Astute Electronics Inc. ATX Excess,G07A02
A1101LLHLT-T,Solid State Magnetic Sensors,Allegro Microsystems LLC,2682,,,,Astute Electronics GEA Excess/Consignment,F02E01
A2A5328-22G5MBAS,"Camera, alignment",Basler,8,,2850.32,USD,Astute Electronics Inc.,SLS03
A3988SEVTR-T,IC INTFC MOT DRVR QUAD FULL BR,Allegro Microsystems LLC,927,,,,Astute Electronics Inc. - HK Excess,HK-EXCESS04
A3P060-VQG100,IC FPGA 71 I/O 100VQFP,MicroChip,211,2316,5.62,USD,Astute Electronics Inc,HK-H04
A54SX32A-3FG484I,"IC, FPGA, A54SX32",Microchip Technology Inc,341,,75,USD,Astute Electronics Inc.,q14
A700X277M002ATE015,Capacitor,Kemet Electronics Corp,1662,,,,Astute Electronics GEA Excess/Consignment,F01A03
A700X397M002ATE015,Capacitor,Kemet Electronics Corp,1200,,,,Astute Electronics GEA Excess/Consignment,BTX-A11
AA104-73LF,EOL IC ATTENUATOR DIGITAL 32DB 2.5GHZ PB,Skyworks,3000,,5.94589,,Astute Electronics Inc.,STOCK
A-A-55502,Resistor,Not Known Yet,2016,,,,Astute Electronics GEA Excess/Consignment,F02A02
AB0531000833PN133,Fixed Pin Connector,AB Connectors Ltd,506,,,,Astute Electronics Inc. ATX Excess,G06F02
ABB16KLKF80P3,BRUSH  ELEC CON  REV H,TT Electronics Plc,400,,,,Astute Electronics Inc. ATX Excess,G07A02
ABC-8-R,"FUSE .25x1.25 8A 250VAC,ROHS",BUSSMANN,20,,,USD,Astute Electronics Inc. LAM STL,LAMBLKB.2.2
ABC-8-R,"FUSE .25x1.25 8A 250VAC,ROHS",BUSSMANN,980,,,USD,Astute Electronics Inc. LAM STL,LAMBLKB.2.2
ABCU-5741ARZ-D,Compatible SFP 1G,ATGBICS,50,2536,28,USD,Astute Electronics Inc,HK-C02
ABCU-5741ARZ-D,Compatible SFP 1G,ATGBICS,150,2501+,28,USD,Astute Electronics Inc,HK-E02
ABM8G-24.000MHZ-18-D2Y-T,"CRYSTAL, SMD, 2.6X3.3, 24MHz, +/-20ppm,",Abracon,1000,2342,,USD,Astute Electronics Inc. LAM STL,LAM7.2.13
ABS06-32.768KHz-T,CRYSTAL 32.7680KHZ 12.5PF SMD,Abracon,890,1807,,,Astute Electronics TAX Excess/Consignment,G01D01
AC0402FR-0722K1L,"RES,0402,1% 1/16W,22.1K ROHS",Vishay Semiconductors,10000,2404,,GBP,Astute Electronics Inc. LAM STL,LAM7.10.17
AC0402FR-0733RL,"RES,0402,1% 1/16W,33.0 OHM ROHS",Yageo Corp,10000,2408,,GBP,Astute Electronics Inc. LAM STL,LAM7.10.26
AC0402FR-0749R9L,"RES,0402,1% 1/16W,49.9 OHM ROHS",Yageo Corp,10000,2417,,GBP,Astute Electronics Inc. LAM STL,LAM7.9.4
AC0603FR-0710KL,"RES,SMD,10KOHM,±1% TOL,0.1W,0603",Stackpole Electronics Inc,5000,2405,,USD,Astute Electronics Inc. LAM STL,LAM7.4.28
AC0603FR-072KL,"RES,0603,THKF,1%,1/10W,100PPM,2K ROHS",Panasonic Corp,4681,1944,,USD,Astute Electronics Inc. LAM STL,LAM7.6.7
AC0603FR-073K24L,"RES,SMD,THKF,1%,1/10W,100PPM,3.24K,ROHS",Yageo Corp,4814,2419,,USD,Astute Electronics Inc. LAM STL,LAM7.6.12
AC0603FR-073K24L,"RES,SMD,THKF,1%,1/10W,100PPM,3.24K,ROHS",Yageo Corp,76,,,USD,Astute Electronics Inc. LAM STL,QC INSPECT
AC0603FR-073K24L,"RES,SMD,THKF,1%,1/10W,100PPM,3.24K,ROHS",Yageo Corp,55,,,USD,Astute Electronics Inc. LAM STL,LAM7.6.12
AC0603FR-0749K9L,"RES,0603,THKF,1%,1/10W,100PPM,49.9K ROHS",Vishay Semiconductors,4935,2209,,USD,Astute Electronics Inc. LAM STL,LAM7.4.15
AC0603FR-074K12L,"RES,0603,THKF,1%,1/10W,100PPM,4.12K ROHS",Yageo Corp,4945,2402,,USD,Astute Electronics Inc. LAM STL,LAM7.5.15
AC0805FR-0710KL,"RES,SMD,0805,TF,1%,1/8W,10K,ROHS",Yageo Corp,5000,2148,,USD,Astute Electronics Inc. LAM STL,LAM7.4.6
AC0805FR-0710KL,"RES,SMD,0805,TF,1%,1/8W,10K,ROHS",Yageo Corp,5000,2402,,GBP,Astute Electronics Inc. LAM STL,LAM7.4.6
ACE23450001,"CABLE ASSY, ELECTRICAL INTERFACE, ELECTR",Not Known Yet,12,,,USD,Astute Electronics Inc.,DSQR1
ACM2012-201-2P-T,CMC 350MA 2LN 200 OHM SMD,TDK Corp,8000,,,,Astute Electronics Inc. ATX Excess,INVQRY
