Item,,ItemDescription,Lot,Location,Lot Cost,Lot Quantity,Lot Unit Cost,Item Lot Revision,Non-Nettable Stock,,Qty WIP,Qty On Customer Orders,,Qty On Purchase Orders,Total On Hand,PO On Order 3PL,CO On Order 3PL,,Last Sales Date,Drawing Revision,Manufacturer,Name,Product Category,Warehouse,,Warehouse Name,NSN,,Expiration Date,Currency,Date Code,Price,Site,Shelf Life,Haz,,,Date Lot,,,,
02-7036-0,,Bobbin,US2602090000020,DSQR,414.4,28,14.8,-,,,,28,,,28,,,,45953,,M01348,Cosmo,,MAIN,,Astute Electronics Inc.,,,,USD,,14.8,USS site,,,,,46062,,,,
02-7036-0 - SET UP FEE,,set up fee,US2602090000021,QC INSPECT,450,1,450,,,,,1,,,1,,,,,,M99996,Charge,,MAIN,,Astute Electronics Inc.,,,,USD,,450,USS site,,,,,46062,,,,
030-9205-007,,26482 II CON 16 PIN,US2011190000018,G05D04,,31,,,,,,,,,31,,,,,,M02957,ITT Cannon,,W104,,Astute Electronics Inc. ATX Excess,,,,USD,,1.25,USS site,,,,,44154,,,,
04026D474MAT2A,,04026D474MAT2A,US0911180000029,G02C03,,10000,,,,,,,,,10000,,,,,,M00606,AVX Corporation,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43413,,,,
043801.5WR,,FUSE BRD MT 1.5A 32VAC 63VDC,US2601230000009,HK-C05,528,24000,0.022,,,,,24000,,,24000,,,,46062,,M03395,Littelfuse Inc,,W105,,Astute Electronics Inc,,,,USD,"2540, 2543",0.022,USS site,,,,,46045,,,,
0452001.NRL,,(CE/) FUSE 125V 1A SLOBLO NANO,US2602220000008,QC INSPECT,,4244,,,,,,,,,4244,,,,,,M03395,Littelfuse Inc,,W118,,Astute Electronics Inc. - LAM Consignment,,,,USD,,,USS site,,,,,46075,,,,
0452002.MRL,,"FUSE,SMD,2A,125V,SLOBLO,NANO2",US2409230000015,LAM7.12.10,,1000,,,,,,,,,1000,,,,,,M12364,"Littelfuse, Inc.",,W115,,Astute Electronics Inc. LAM STL,,,,USD,10/06/23,0.119,USS site,,,,,45558,,,,
06031C471JAT2A,,Capacitor,PX2312270000030,F01E02,,2834,,,,,,,,,2834,,,,,,M03243,Kyocera Connector Products Corp,,W103,,Astute Electronics GEA Excess/Consignment,,,,,,,USS site,,,,,45287,,,,
06035A221KAT2A,,CAP CER 220PF 50V C0G/NP0 0603,US2203070000037,G01C02,,4000,,,,,,,,,8339,,,,,,M00606,AVX Corporation,,W106,,Astute Electronics TAX Excess/Consignment,,,,,2010,,USS site,,,,,44627,,,,
06035A221KAT2A,,CAP CER 220PF 50V C0G/NP0 0603,US2203110000022,G06A01,,4339,,,,,,,,,8339,,,,,,M00606,AVX Corporation,,W106,,Astute Electronics TAX Excess/Consignment,,,,,"1848, 1811, 1841",,USS site,,,,,44631,,,,
06035C104JAT2A,,"CAP,CERAMIC,100NF,50V,5%,SMT,0603,X7R",US2409230060001,LAM7.12.24,,3933,,,,,,,,,3933,,,,,,M00606,AVX Corporation,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2421,0.00577,USS site,,,,,45558,,,,
0603F224Z500CT,,"CAP, 0.22F, 50V, Y5V, 0603, REEL",US2205120000052,G06B03,,180000,,,,,,,,,180000,,,,,,M00606,AVX Corporation,,W106,,Astute Electronics TAX Excess/Consignment,,,,,N/A,,USS site,,,,,44693,,,,
0603LS-103XJLC,,"IND, PWR, 10uH, 0.18A, 0603, SMD",US0811180000003,G02C03,,2000,,,,,,,,,2000,,,,,,M01233,Coilcraft Inc,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43412,,,,
0650R9120-13,,"FUSE,AXIAL LEAD,12A,250V,5X20,FAST-ACT",US2407230000048,LAMBLKB.2.6,,916,,,,,,,,,1000,,,,,,M00713,Bel Fuse,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,0.317,USS site,,,,,45496,,,,
0650R9120-13,,"FUSE,AXIAL LEAD,12A,250V,5X20,FAST-ACT",US2408060000006,LAMBLKB.2.6,,23,,,,,,,,,1000,,,,,,M00713,Bel Fuse,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,0.317,USS site,,,,,45510,,,,
0650R9120-13,,"FUSE,AXIAL LEAD,12A,250V,5X20,FAST-ACT",US2409100000016,LAMBLKB.2.6,,61,,,,,,,,,1000,,,,,,M00713,Bel Fuse,,W115,,Astute Electronics Inc. LAM STL,,,,USD,,0.317,USS site,,,,,45545,,,,
0686F2000-01,,"FUSE,SMD,2A,32VAC/63VDC,FAST ACT,0603",US2407220000018,LAM7.9.28,,4945,,,,,,,,,4945,,,,,,M00713,Bel Fuse,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2212,0.122,USS site,,,,,45495,,,,
0686F5000-01,,"FUSE,SMD,5A,32VAC/63VDC,FAST ACT,0603",US2408130000006,LAM7.9.10,,5000,,,,,,,,,5000,,,,,,M00713,Bel Fuse,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2212,0.1108,USS site,,,,,45517,,,,
0734151004,,"Conn,RF RA SMA MMCX",US2503050000025,HK-F01,8792,5600,1.57,,,,,5600,,,5600,,,,45742,,M03837,Molex LLC,,W105,,Astute Electronics Inc,,,,USD,2506,1.57,USS site,,,,,45721,,,,
0751AB03M686400,,OSCILLATOR  3.6,US0000000023242,G02C02,,29,,,,,,,,,79,,,,,,,,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43039,,,,
0751AB03M686400,,OSCILLATOR  3.6,US0000000023243,G02C02,,50,,,,,,,,,79,,,,,,,,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43039,,,,
08051A151JAT2A,,"CAP,SMD,0805,COG,5%,100V,150PF ROHS",US2408140000008,LAM7.10.15,,4000,,,,,,,,,4000,,,,,,M03110,Kemet Electronics Corp,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2347,0.018,USS site,,,,,45518,,,,
08051A220FAT2A,,"CAP,0805,CER,C0G,1%,100V,22PF ROHS",US2407230000021,LAM7.3.15,,3820,,,,,,,,,3820,,,,45979,,M00606,AVX Corporation,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2226,0.09,USS site,,,,,45496,,,,
08053C105KAT2A,,Cap 1uF +/-10% 25V X7R 0805,US2205250000037,G06A01,,135,,,,,,,,,135,,,,,,M00606,AVX Corporation,Capacitors,W106,,Astute Electronics TAX Excess/Consignment,,,,,1814,,USS site,,,,,44706,,,,
08055A102FAT2A,,08055A102FAT2A,US2204250000059,G07D01,,2796,,,,,,,,,2796,,,,,,M00606,AVX Corporation,,W106,,Astute Electronics TAX Excess/Consignment,,,,,1914,,USS site,,,,,44676,,,,
08055A331KAT2A,,CAP CER 330PF 50V C0G/NP0 0805,US2204120000021,G01B02,,13777,,,,,,,,,13777,,,,,,M00606,AVX Corporation,,W106,,Astute Electronics TAX Excess/Consignment,,,,,"1911, 1839",,USS site,,,,,44663,,,,
08055A560JAT2A,,Ceramic Capacitors,PX2312280000112,F02E01,,3807,,,,,,,,,3807,,,,,,M11871,KYOCERA AVX,,W103,,Astute Electronics GEA Excess/Consignment,,,,,,,USS site,,,,,45288,,,,
08055C102KAT2A,,"CAP,SMD,CER,1000PF,0805,10%,X7R,50V,ROHS",US2210070000005,G06E01,,2891,,,,,,,,,2891,,,,,,M03110,Kemet Electronics Corp,Capacitors,W107,,Astute Electronics SPA Excess/Consignment,,,,,1902,,USS site,,,,,44841,,,,
08055C104KAT2A,,Ceramic Capacitor Multilayer 5,US2203220000009,G01B03,,425,,,,,,,,,425,,,,,,M11871,KYOCERA AVX,Capacitors,W106,,Astute Electronics TAX Excess/Consignment,,,,,1839,,USS site,,,,,44642,,,,
08055C183MAT2A,,Capacitor,PX2312270000023,F02E03,,3858,,,,,,,,,3858,,,,,,M03243,Kyocera Connector Products Corp,,W103,,Astute Electronics GEA Excess/Consignment,,,,,,,USS site,,,,,45287,,,,
08055C473JAT2A,,"Capacitors, chip",US1206180000018,G02C03,,48000,,,,,,,,,48000,,,,,,M00606,AVX Corporation,Unknown,W104,,Astute Electronics Inc. ATX Excess,,,,,"1710,1745",,USS site,,,,,43263,,,,
0805L010YR,,"FUS, PTC RST, 15V, 0.1A, 0805, SMD",US1708180000007,G02C03,,4000,,,,,,,,,4000,,,,,,M03395,Littelfuse Inc,,W104,,Astute Electronics Inc. ATX Excess,,,,,,,USS site,,,,,43329,,,,
09.03290.01,,"SW,PCB,SLIDE ACTR,0.5A,12V,AXIAL PIN,BLK",US2408080000028,LAMBLK.9.4,,184,,,,,,,,,184,,,,45985,,M01925,Eoz Solutions,,W115,,Astute Electronics Inc. LAM STL,,,,USD,2402,1.51,USS site,,,,,45512,,,,
09552156612741,,"CONN,RCPT,D-SUB,SIZE 2,15POSN,5A,STR,SMD",US2409240000028,LAM13.10.2,482.33,139,3.47,,,,,,,,139,,,,45784,,M02548,Harting Electronics GmBH & Co KG,,W111,,Astute Electronics Inc. LAM 3PL,,,,USD,2416,3.47,USS site,,,,,45559,,,,
0KLK005.T,,FUSE CARTRIDGE 5A 600VAC/500VDC,US2112160000012,G04B01,,100,,,,,,,,,5900,,,,,,M03395,Littlefuse Inc,,W106,,Astute Electronics TAX Excess/Consignment,,,,,19973,,USS site,,,,,44546,,,,
0KLK005.T,,FUSE CARTRIDGE 5A 600VAC/500VDC,US2112160000014,G04B01,,70,,,,,,,,,5900,,,,,,M03395,Littlefuse Inc,,W106,,Astute Electronics TAX Excess/Consignment,,,,,19974,,USS site,,,,,44546,,,,
0KLK005.T,,FUSE CARTRIDGE 5A 600VAC/500VDC,US2112170000028,A01B01,,830,,,,,,,,,5900,,,,,,M03395,Littlefuse Inc,,W106,,Astute Electronics TAX Excess/Consignment,,,,,n/a,,USS site,,,,,44547,,,,
0KLK005.T,,FUSE CARTRIDGE 5A 600VAC/500VDC,US2203300000014,A02A01,,4900,,,,,,,,,5900,,,,,,M03395,Littlefuse Inc,,W106,,Astute Electronics TAX Excess/Consignment,,,,,"L9C26F*, 100219*, 091019*, L9C23F*, 081319*",,USS site,,,,,44650,,,,
