Chuboe_Offer_ID[Value],Chuboe_MPN,Chuboe_MFR_ID[Value],Chuboe_MFR_Text,Qty,Chuboe_Lead_Time,Chuboe_Package_Desc,C_Country_ID[Name],Chuboe_Date_Code,C_Currency_ID[ISO_Code],Description,IsActive,Chuboe_MPN_Clean,Chuboe_CPC,PriceEntered,Chuboe_MOQ,Chuboe_SPQ
,302W2CPXX71E40X,,CONEC Elektronische Bauelemente GmbH,11,,US2505300000008;LAMBLK.11.20,,2515,,"CONN, PLUG, COMBO DSUB, M/F 30A, ST",,,,7.54,,
,302W2CSXX56N40X,,Conec,20,,US2408120000024;LAMBLK.10.11,,2430,,D Type Connector 2 Contact Fem,,,,10.34,,
,303W3CSXX69E40X,,CONEC Elektronische Bauelemente GmbH,100,,US2505130000019;LAMBLK.7.13,,Z2135,,"CONN,RCPT,D-SUB,POWER,3P,COMBO,ROHS",,,,6.74159,,
,303W3CSXX69E40X,,CONEC Elektronische Bauelemente GmbH,13,,US2506050000009;LAMBLK.7.13,,Inconclusive,,"CONN,RCPT,D-SUB,POWER,3P,COMBO,ROHS",,,,13.85,,
,3-1462039-7,,TE Connectivity Ltd,829,,US2407160000035;LAM13.2.9,,2330,,Relay,,,,2.3,,
,4750-2-28,,Raf Electronics Hardware,35,,US2408060000075;LAMBLK.9.14,,05/03/2024,,"JACK SCRW,1/4L,3/16H",,,,0.27942,,
,4AA24-N20-I10-M-K0065-Q4,,Advanced Energy Industries Inc,51,,US2501140000011;LAMSHELF.3.8,,,,"PS,DC-DC CONV,HV,24V,4KV,ADJ",,,,416,,
,5019530307,,Molex LLC,3,,US2601190000055;QC INSPECT,,,,"CONN,SMD,HDR,3PIN,1MM PITCH,SN PLD,RTANG",,,,0.30767,,
,5019530307,,Molex LLC,21,,US2602040000031;QC INSPECT,,,,"CONN,SMD,HDR,3PIN,1MM PITCH,SN PLD,RTANG",,,,0.30767,,
,50SVPK120M,,Panasonic,309,,US2408070000028;LAM13.8.8,,2229,,"CAP,SMD,AL,ELCTLT,20%,50V,120UF,10MM DIA",,,,1.098,,
