Lam PN,MPN,Buyer,Qty,Unit Cost,LAM Resale,Contract Resale,LAM Total Price,Price Status
"668-234157-002","1843224","Jake Harris",250,1.2800,1.8513,2.2577,462.83,18.0% diff
"615-116028-715","CRCW12067K15FKEA","Jake Harris",5999,0.0009,0.0092,0.0112,54.91,18.0% diff
"615-098743-272","CRCW20102K70JNEF","Jake Harris",4000,0.0176,0.0380,0.0463,151.96,18.0% diff
"667-B30869-003","HLE-103-02-F-DV","Edgar Santana",222,0.7600,1.4216,1.7336,315.59,18.0% diff
"723-A22202-001","KFE-M3-12-ET","Stephanie Hill",100,0.3686,0.4020,0.4902,40.20,18.0% diff
"723-036612-004","KFS2-440","Stephanie Hill",1000,0.1834,0.2463,0.3004,246.33,18.0% diff
"630-315857-001","LM74CIMX-3/NOPB","Stephanie Hill",2500,0.9390,1.3235,1.6141,3308.85,18.0% diff
"668-B29177-001","MTSW-116-22-T-S-440","Edgar Santana",30,0.3200,1.5319,1.8681,45.96,18.0% diff
"682-A56420-030","SF-1206HH30M-2","Jake Harris",3000,0.2100,0.3995,0.4872,1198.54,18.0% diff
"668-900922-026","SSW-113-01-G-D","Edgar Santana",50,1.3800,3.4481,4.2050,172.40,18.0% diff
"660-A86741-008","THN10-2423WIR","Jake Harris",26,34.6800,38.5596,47.0239,1002.55,18.0% diff
"667-A27948-002","TSM-102-01-S-SV","Edgar Santana",500,0.1300,0.2857,0.3484,142.86,18.0% diff
"667-B14849-001","TSM-103-02-S-SV","Edgar Santana",300,0.1900,0.5222,0.6368,156.66,18.0% diff
"667-B14845-020","TSM-110-02-S-DV","Edgar Santana",125,0.8600,2.8432,3.4673,355.40,18.0% diff
"667-B14845-001","TSM-120-02-S-DV","Edgar Santana",115,1.7200,4.0442,4.9319,465.08,18.0% diff
"668-A97216-001","32K101-400L5","Jake Harris",500,2.2800,5.1594,6.2919,2579.68,18.0% diff
"670-006780-036","ABC-8-R","Stephanie Hill",20,0.2160,2.6716,3.2580,53.43,18.0% diff
"615-068559-324","AC0603FR-073K24L","Tracy Xie",4924,0.0012,0.0049,0.0060,24.14,18.0% diff
"670-006780-022","AGC-1-R","Stephanie Hill",1000,0.1200,1.1802,1.4392,1180.16,18.0% diff
"648-228694-005","CC0402JRNPO9BN180","Tracy Xie",10000,0.0004,0.0058,0.0070,57.60,18.0% diff
"648-124321-333","CC0402KRX7R9BB333","Tracy Xie",9900,0.0009,0.0061,0.0075,60.67,18.0% diff
"648-124321-681","CC0402KRX7R9BB681","Tracy Xie",10000,0.0004,0.0037,0.0045,36.77,18.0% diff
"615-123461-187","RC0402FR-071K87L","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123462-215","RC0402FR-0721K5L","Tracy Xie",10000,0.0003,0.0025,0.0030,24.51,18.0% diff
"615-123462-475","RC0402FR-0747K5L","Tracy Xie",9900,0.0003,0.0025,0.0030,24.26,18.0% diff
"630-128822-001","TPS7A4501KTTR","Tracy Xie",430,0.6300,1.9118,2.3314,822.07,18.0% diff
"668-335595-003","10090929-S444XLF","Jake Harris",338,2.1090,2.3652,2.8844,799.44,18.0% diff
"615-068559-412","AC0603FR-074K12L","Tracy Xie",4945,0.0012,0.0049,0.0060,24.24,18.0% diff
"630-120971-001","MT47H128M16RT-25E:C","Tracy Xie",2000,5.0000,10.1243,12.3467,20248.57,18.0% diff
"630-B25236-001","OPA1671IDBVR","Tracy Xie",2975,0.2590,0.4927,0.6008,1465.64,18.0% diff
