CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,Resale Basis,% Under Tgt,Floor GP Line,CT GP Line,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
AD9467BCPZRL7-200,1,VQ,OVER,81.7284,3200,AD9467BCPZRL7200,HK Firsttop Technology Ltd,128.55,400,25+,151.235294,151.235294,Other-cust midpoint (other $98.1000) (floored),-85.0,9074.12,-18728.64,12.5%,261530.88,High,2,3,Sanmina Corporation (Shortage) $98.10 08/25 (1x),
CAT24C512WI-GT3,1,VQ,OVER,0.112,132000,CAT24C512WIGT3,Fixchips Global Limited,0.177,21000,24+,0.208235,0.208235,Other-cust midpoint (other $0.1900) (floored),-85.9,655.94,-1365.00,15.9%,14784.00,Medium,-13,6,Sanmina Corporation (PPV) $0.19 12/23 (1x),
MT41K256M16TW-107:PTR,1,VQ,OVER,2.0786,2000,MT41K256M16TW107PTR,KST Components Ltd.,3.6,10000,22+,4.235294,4.467647,Other-cust midpoint (other $4.7000),-103.8,1270.59,-3042.80,500.0%,4157.20,Medium,-11,3,Plexus Corp. (Shortage) $4.70 01/25 (2x),
MT41K256M16TW-107:P,1,VQ,OVER,2.0786,2000,MT41K256M16TW107P,PGC-IC Ltd,4.35,600,22+,5.117647,5.117647,Other-cust midpoint (other $4.9200) (floored),-146.2,460.59,-1362.84,30.0%,4157.20,Medium,-3,15,Vinrox Technologies Private Limited (Shortage) $4.92 02/02 (1x),
ADM3202ARUZ-REEL7,1,VQ,OVER,0.3172,12500,ADM3202ARUZREEL7,A-Power Electronic Asia Ltd,0.7,2000,25+,0.823529,0.881765,Other-cust midpoint (other $0.9400),-159.6,247.06,-765.60,16.0%,3965.00,High,2,6,OnCore Manufacturing (PPV) $0.94 02/12 (1x),
SN74LVC1T45DCKR,1,VQ,OVER,0.0119,543000,SN74LVC1T45DCKR,Qiaocheng Technology Limited,0.028,543000,"",0.032941,0.038971,Other-cust midpoint (other $0.0450),-176.8,2683.06,-8742.30,100.0%,6461.70,High,2,8,Sanmina Corporation (PPV) $0.05 10/23 (1x),
MT25QL256ABA8ESF-0SIT TR,2,VQ,OVER,1.125,6500,MT25QL256ABA8ESF0SITTR,HK Firsttop Technology Ltd,3.0365,1000,22+,3.572353,3.572353,Other-cust midpoint (other $1.5100) (floored),-217.5,535.85,-1911.50,15.4%,7312.50,High,3,5,BENCHMARK ELECTRONICS (PPV) $1.51 11/11 (1x) | Plexus Corp. (Shortage) $1.25 10/30 (3x),
GRM155C80J106ME11D,1,VQ,OVER,0.0024,35790000,GRM155C80J106ME11D,SAMWOO ELECO CO..LTD,0.0068,6000000,25+,0.008000,0.008750,Other-cust midpoint (other $0.0095),-233.3,7200.00,-26400.00,16.8%,85896.00,Medium,-3,3,Marvell (PPV) $0.01 01/30 (1x),
LMK1C1104PWR,1,VQ,OVER,0.147,48000,LMK1C1104PWR,Najie International Ltd,0.42,10000,23+/24+/25+,0.494118,0.522500,Lost CQ $0.5500 x0.95,-236.1,741.18,-2730.00,20.8%,7056.00,High,2,4,,
MT40A512M16LY-075:E,1,VQ,OVER,2.877,1540,MT40A512M16LY075E,Onway (HK) Technology Ltd,29,4000,24+,34.117647,34.117647,Other-cust midpoint (other $12.8000) (floored),-1085.9,7881.18,-40229.42,259.7%,4430.58,High,2,18,Plexus Corp. (Shortage) $12.80 12/16 (2x),
"74LVC06APW,118",1,Stock,CHECK WITH JAKE,0.0378,194000,"74LVC06APW,118",Stock - Philippines Warehouse,,33481,"",,,,,,,17.3%,7333.20,Stock,,0,,2025-10-21
"74LVC1G07GW,125",1,Stock,CHECK WITH JAKE,0.0119,159000,"74LVC1G07GW,125",Stock - Austin Warehouse,,26994,"",,,,,,,17.0%,1892.10,Stock,,0,,2025-07-21
BSS138,1,Stock,CHECK WITH JAKE,0.0098,1344000,BSS138,Stock - Hong Kong Warehouse,,1997,"",,,,,,,0.1%,13171.20,Stock,,0,,2025-07-21
BSS138LT1G,1,Stock,CHECK WITH JAKE,0.0073,378000,BSS138LT1G,Stock - Austin Warehouse,,3000,2030,,,,,,,0.8%,2759.40,Stock,,0,,2025-07-21
C0805C106K8RACTU,1,Stock,CHECK WITH JAKE,0.0063,770000,C0805C106K8RACTU,Stock - Austin Warehouse,,6532, / 1909,,,,,,,0.8%,4851.00,Stock,,0,,2025-07-21
C3225X7R1E106M250AC,1,Stock,CHECK WITH JAKE,0.022,110000,C3225X7R1E106M250AC,Stock - Austin Warehouse,,9000, / 1928 / 1939,,,,,,,8.2%,2420.00,Stock,,0,,2025-07-21
CRCW040210K0FKED,1,Stock,CHECK WITH JAKE,0.0008,2640000,CRCW040210K0FKED,Stock - Austin Warehouse,,10000,"",,,,,,,0.4%,2112.00,Stock,,0,,2025-07-21
GRM155R61C105KA12D,1,Stock,CHECK WITH JAKE,0.0045,700000,GRM155R61C105KA12D,Stock - Philippines Warehouse,,49947,"",,,,,,,7.1%,3150.00,Stock,,0,,2025-10-21
MT40A512M16TB-062E:R,1,Stock,CHECK WITH JAKE,5.831,2000,MT40A512M16TB062ER,Stock - Hong Kong Warehouse,,80,"",,,,,,,4.0%,11662.00,Stock,,0,,2025-07-21
RC0402JR-070RL,1,Stock,CHECK WITH JAKE,0.0001,28550000,RC0402JR070RL,Stock - Philippines Warehouse,,35342,"",,,,,,,0.1%,2855.00,Stock,,0,,2025-10-21
RT0402BRE0724K9L,1,Stock,CHECK WITH JAKE,0.0039,920000,RT0402BRE0724K9L,Stock - Philippines Warehouse,,1800,2127,,,,,,,0.2%,3588.00,Stock,,0,,2025-12-17
STTH112U,1,Stock,CHECK WITH JAKE,0.0336,258000,STTH112U,Stock - Austin Warehouse,,2500,N/A,,,,,,,1.0%,8668.80,Stock,,0,,2025-07-21
W25Q128JVSIQ-T,3,Stock,CHECK WITH JAKE,0.243,42000,W25Q128JVSIQ,Stock - Austin Warehouse,,1985,"",,,,,,,4.7%,10206.00,Stock,,0,,2025-07-21
