RFQ,Customer Part Number,% Under Target,Type,Supplier/Excess Partner,MO Type,Date Code,Supplier MPN,Created Date,% of Demand,Opp Amount,Supplier Qty,Supplier Price,Minimum Suggested Resale,Quotable,Floor GP,Floor Margin,RFQ Target,RFQ Qty,CT GP,CT Margin,RFQ MPN,RFQ Created,RFQ Customer,Days Btw VQ & RFQ,RFQ Manufacturer,Confidence Tier,Alt VQ Sources
1129467,ADS1115IDGSR,-0.1499,VQ,Shun Chiu (HK) Industry Development Ltd,,23+,ADS1115IDGSR,2026-02-10 01:46:37,1.0000,2557.75,5000,0.50,0.588235,NO,441.18,0.1500,0.51155,5000,57.75,0.0226,ADS1115IDGSR,2026-02-04,Plexus Corp.,6,,High,0
1129467,ADS1115IDGST,,Stock,Stock - Austin Warehouse,,,ADS1115IDGST,2025-07-21 10:19:25,0.1400,2557.75,700,0,,CHECK WITH JAKE,,,0.51155,5000,,,ADS1115IDGST,2026-02-04,Plexus Corp.,-198,,Stock,0
1129467,EP2AGX95EF35C4G,0.0455,VQ,Vistron Electronics (US) Ltd,,23+,EP2AGX95EF35C4G,2026-02-06 02:11:49,1.0000,119808.00,720,135,158.823529,YES,17152.94,0.1500,166.4,720,22608.00,0.1887,EP2AGX95EF35C4G,2026-02-04,Plexus Corp.,2,,High,3
1129467,EPCQ64ASI16N,0.1606,VQ,SKY CHIP (HK) TECHNOLOGY LIMITED,,,EPCQ64ASI16N,2026-01-28 01:34:37,0.0000,6727.50,0,3.2,3.764706,VERIFY QTY,0.00,0.1500,4.485,1500,0.00,0.2865,EPCQ64ASI16N,2026-02-04,Plexus Corp.,-7,,Medium,15
1129467,LM2676SXADJNOPB,,Stock,Stock - Hong Kong Warehouse,,,LM2676SX-ADJ/NOPB,2025-07-21 10:24:32,0.0250,5655.00,250,0,,CHECK WITH JAKE,,,0.5655,10000,,,LM2676SXADJNOPB,2026-02-04,Plexus Corp.,-198,,Stock,0
1129467,LM2676SXADJNOPB,,Stock,Stock - Hong Kong Warehouse,,,LM2676SX-ADJ/NOPB,2025-07-21 10:24:32,0.0250,5655.00,250,0,,CHECK WITH JAKE,,,0.5655,10000,,,LM2676SXADJNOPB,2026-02-04,Plexus Corp.,-198,,Stock,0
1129467,LM2676SXADJNOPB,-0.1026,VQ,Qiaocheng Technology Limited,,23+,LM2676SX-ADJ/NOPB,2026-02-06 08:45:47,1.0000,5655.00,10000,0.53,0.623529,NO,935.29,0.1500,0.5655,10000,355.00,0.0628,LM2676SXADJNOPB,2026-02-04,Plexus Corp.,2,,High,3
1129467,MSP430F149IPMR,-0.0618,VQ,"Original Chip Source Electronics Co., Limited",,,MSP430F149IPMR,2026-01-21 05:15:20,1.0000,1950.00,2000,0.88,1.035294,NO,310.59,0.1500,0.975,2000,190.00,0.0974,MSP430F149IPMR,2026-02-04,Plexus Corp.,-14,,Medium,3
1129467,OPA2277UA2K5,0.1981,VQ,Dynamic Domain PTE Ltd,,23+,OPA2277UA/2K5,2026-02-06 08:26:17,0.5000,3851.25,7500,0.175,0.205882,YES,231.62,0.1500,0.25675,15000,613.13,0.3184,OPA2277UA2K5,2026-02-04,Plexus Corp.,2,,High,4
1129467,TPS74401RGWR,,Stock,Stock - Austin Warehouse,,13+,TPS74401RGWR,2025-07-21 10:19:25,0.0718,7390.50,2155,0,,CHECK WITH JAKE,,,0.24635,30000,,,TPS74401RGWR,2026-02-04,Plexus Corp.,-198,,Stock,0
1129467,XC6SLX452FGG484I,,Stock,Stock - Austin Warehouse,,,XC6SLX45-2FGG484I,2022-07-12 04:21:10,0.0333,838.50,2,0,,CHECK WITH JAKE,,,13.975,60,,,XC6SLX452FGG484I,2026-02-04,Plexus Corp.,-1303,,Stock,0
