CPC,MPNs,Type,vs Target,RFQ Target,RFQ Qty,Source MPN,Supplier/Location,VQ Cost,Source Qty,Date Code,Floor Price,Suggested Resale,Resale Basis,% Under Tgt,Quoted GP,% Demand,Opp Amount,Confidence,Days Btw,VQ Alts,Sales History (12mo),Stock Offer Date
2324958-825,4,VQ,OVER,0.17225,7500,SN65HVD230DR,"Excellence Time Electronics Co., Ltd",0.205,10000,25+,0.241176,0.295000,Same-cust Shortage $0.2950,-71.3,675.00,133.3%,1291.88,High,2,6,Plexus Corp. (Shortage) $0.30 02/08 (3x),
5393941-7-825,1,VQ,OVER,9.8475,480,EP4CE30F23C8N,WeTech International Ltd,14.85,600,23+,17.470588,17.470588,Same-cust PPV $14.5000 (floored),-77.4,1257.88,125.0%,4726.80,Medium,-7,12,Plexus Corp. (Shortage) $15.85 08/01 (2x) | Plexus Corp. (PPV) $14.50 06/27 (1x),
5735900-340,6,VQ,OVER,14.3,1200,XC7A75T2FGG676I,HK Firsttop Technology Ltd,21.6,600,21+,25.411765,25.411765,Same-cust PPV $24.3500 (floored),-77.7,2287.06,50.0%,17160.00,Medium,-14,0,Plexus Corp. (Shortage) $27.50 01/21 (5x) | Plexus Corp. (PPV) $24.35 10/30 (1x) | Plexus Corp. (?) $22.00 03/10 (1x),
2000914-001-825,7,VQ,OVER,0.33605,10000,OPA2197IDGKR,Fixchips Global Limited,0.482,10000,23+,0.567059,0.630000,Same-cust PPV $0.6300,-87.5,1480.00,100.0%,3360.50,High,6,0,Plexus Corp. (PPV) $0.63 02/10 (1x),
M1046051-825,2,VQ,OVER,0.325,3000,DP83848IVVXNOPB,Dynamic Domain PTE Ltd,0.4,5000,23+,0.483333,0.650000,Same-cust PPV $0.6500,-100.0,750.00,166.7%,975.00,High,4,0,Plexus Corp. (PPV) $0.65 02/08 (2x),
5391889-825,3,VQ,OVER,2.145,15000,LMH6517SQXNOPB,"SourceOne electronics Co., Limited",3.75,2559,16+,4.411765,4.411765,Same-cust PPV $4.3500 (floored),-105.7,1693.46,17.1%,32175.00,High,1,0,Plexus Corp. (Shortage) $5.30 02/05 (1x) | Plexus Corp. (PPV) $4.35 11/18 (3x) | Plexus Corp. (?) $3.30 02/28 (2x),
5144865-340,2,VQ,OVER,2.392,2000,AD7683BRMZRL7,Fixchips Global Limited,4.45,2000,23+,5.235294,5.235294,Same-cust Shortage $3.5000 (floored),-118.9,1570.59,100.0%,4784.00,High,4,0,Plexus Corp. (Shortage) $3.50 11/27 (1x),
168265-274,2,VQ,OVER,1.885,1000,ADUM4160BRWZRL,A-Power Electronic Asia Ltd,2.75,1000,25+,3.235294,4.250000,Same-cust PPV $4.2500,-125.5,1500.00,100.0%,1885.00,High,6,0,Plexus Corp. (PPV) $4.25 02/10 (1x) | Plexus Corp. (Shortage) $3.15 06/30 (1x) | Plexus Corp. (?) $2.90 03/17 (1x),
5779245-825,2,VQ,OVER,4.225,5200,LTM4622EYPBF,"Haoxin Hk Electronic Technology Co., Limited",8.2,2494,25+,9.647059,9.647059,Lost CQ $8.5000 x0.95 (floored),-128.3,3608.97,48.0%,21970.00,Medium,-15,10,,
5445195-6-825,1,VQ,OVER,18.395,480,5CEBA5F23C7N,Southchip Limited,33.42,589,22+,39.317647,43.500000,Same-cust PPV $43.5000,-136.5,4838.40,122.7%,8829.60,Medium,-7,14,Plexus Corp. (PPV) $43.50 02/08 (3x) | Plexus Corp. (Shortage) $28.00 05/06 (1x),
5402763-340,2,Stock,CHECK WITH JAKE,0.24635,30000,TPS74401RGWR,Stock - Austin Warehouse,,2155,13+,,,,,,7.2%,7390.50,Stock,,0,,2025-07-21
