COV,CO Number,Invoice Date,Invoice Number,MPN,Customer Item,Description,Qty,Actual Unit Cost,Total Line Cost,Unit Sell Price,Line Total,Buyer,Contract Base (Unit),Contract Base (Total),Effective Revenue,Buyer GP,Billing Variance,Type
COV0019122,StaleInvQ32025,45930,IN0000024711,REF5025AIDR,630-116956-001,"MICROCIRCUIT, DIGITAL, PRECISION VOLTAGE",2500,1.21,3025,0,0,Jake Harris,1.59315,3982.875,3982.875,957.875,-3982.875,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LM7332MAX/NOPB,630-129637-001,"IC, LM7332MAX/NOPB, OPERATIONAL AMPLIFIER,  2 AMPLIFIER DUAL",2500,1.2,3000,0,0,Jake Harris,1.580895,3952.2375,3952.2375,952.2375,-3952.2375,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,IXTT220N20X4HV,626-B09702-001,"XSTR,SMD,FIELD EFT,N-CH,200V,TO-268HV",210,14.13017,2967.3357,0,0,Jake Harris,13.835895,2905.53795,2905.53795,-61.79775,-2905.53795,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LT8645SHV-2#PBF,630-311294-002,"IC,SMD,REG,BUCK,ADJ,8A,65V OUT,32-LQFN",490,6,2940,0,0,Tracy Xie,9.63243,4719.8907,4719.8907,1779.8907,-4719.8907,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TPS568215RNNR,630-346019-001,"IC,SMD,BUCK CONV,4.5-17VIN,8A,18-VQFN",3000,0.95,2850,0,0,Jake Harris,1.25001,3750.03,3750.03,900.03,-3750.03,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TPS27S100BRRKT,630-B14805-001,Power Switch/ Driver,2750,1.032,2838,0,0,Jake Harris,1.095597,3012.89175,3012.89175,174.89175,-3012.89175,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,"TLP2367(TPR,E",630-337827-001,"IC,SMD,PHOTOCOUPLER,1 CKT,3.3V/5V,HS,SO6",3000,0.945,2835,0,0,Danyel Martinez,0.926478,2779.434,2779.434,-55.566,-2779.434,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,3003W3SXX56N40X,668-B07818-001,"CONN,DSUB,FEMALE,R/A,3W3,20A",240,11.47,2752.8,0,0,Jake Harris,14.081767,3379.62408,3379.62408,626.82408,-3379.62408,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LTC2666CUH-16#PBF,630-248785-001,"IC,SMD,DAC,16-BIT,8CHAN,QFN32,0-70DEG C",60,45.639,2738.34,0,0,Tracy Xie,40.674345,2440.4607,2440.4607,-297.8793,-2440.4607,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,3007W2SCT56N40X,668-294939-001,"CONN,RCPT,FEM SKT,D-SUB,7W2,90DEG,20A",220,12.389,2725.58,0,0,Jake Harris,14.77953,3251.4966,3251.4966,525.9166,-3251.4966,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,FDMS8460,626-345771-001,Trans MOSFET N-CH Si 40V 25A 8-Pin PQFN EP T/R,2940,0.92,2704.8,0,0,Jake Harris,1.180157,3469.66158,3469.66158,764.86158,-3469.66158,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,IAUC100N04S6L014ATMA1,626-A73827-001,Trans MOSFET N-CH 40V 100A Automotive 8-Pin TDSON EP T/R,4780,0.565,2700.7,0,0,Jake Harris,0.571083,2729.77674,2729.77674,29.07674,-2729.77674,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,INA826AIDGKR,630-122889-001,"Precision, 220-uA supply current
",2500,1.057,2642.5,0,0,Jake Harris,1.384815,3462.0375,3462.0375,819.5375,-3462.0375,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,5535097-5,668-129550-001,"CONN,RCPT,120P,TYPE C,VERT,3 X 40",570,4.53833,2586.8481,0,0,Danyel Martinez,6.105343,3480.04551,3480.04551,893.19741,-3480.04551,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,ASP-134604-04,667-A11760-160,"CONN,SMD,VITA57.1 FMC MEZZ LPC,160POS,PB",200,12.65,2530,0,0,Jake Harris,13.149615,2629.923,2629.923,99.923,-2629.923,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,598-8610-307F,664-122320-001,"LED,SMD,3 WAY ALINGAP/INGAN R/G/B 1210",2980,0.83,2473.4,0,0,Stephanie Hill,0.854173,2545.43554,2545.43554,72.03554,-2545.43554,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,AFBR-1539Z,668-244809-001,"TRANSMITTER,FIBRE OPTIC CONN,685NM,10MBD",200,12.2471,2449.42,0,0,Jake Harris,11.83833,2367.666,2367.666,-81.754,-2367.666,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,RCLAMP3321P.TNT,609-290805-001,"DIO,SMD,ZENER,TVS,3.3VWM,13VC",9900,0.24,2376,0,0,Stephanie Hill,0.248764,2462.7636,2462.7636,86.7636,-2462.7636,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,SN74LVC2G34MDCKREP,630-119587-001,"IC,SMD,DUAL BUFFER GATE",3000,0.79,2370,0,0,Jake Harris,1.049028,3147.084,3147.084,777.084,-3147.084,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,3005W5SXX69E40X,668-111554-005,"CONN,RCPT,D-SUB,POWER,5P,ROHS",140,16.75,2345,0,0,Edgar Santana,17.022195,2383.1073,2383.1073,38.1073,-2383.1073,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,302W2CSXX55N40X,668-105495-007,"CONN,RCPT,DSUB,F/M,RA,2PIN,15A",210,11.12,2335.2,0,0,Jake Harris,14.044843,2949.41703,2949.41703,614.21703,-2949.41703,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,FSV1550V,609-A71211-001,"DIO,SMD,SCHOTTKY,790MV,15A,TO-277-3",5000,0.46,2300,0,0,Jake Harris,0.545348,2726.74,2726.74,426.74,-2726.74,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,SM10B-SURS-TF(LF)(SN),667-A43906-010,"CONN,SMD,HDR,10PIN,1ROW,.8MM PITCH,RTANG",3500,0.64397,2253.895,0,0,Danyel Martinez,0.64397,2253.895,2253.895,0,-2253.895,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,173113-0154,668-307551-026,"CONN,PLUG,D-SUB,PCB,26 PIN,RTANG,5A MAX",100,21.9846,2198.46,0,0,Danyel Martinez,18.716694,1871.6694,1871.6694,-326.7906,-1871.6694,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,ADS7953SDBTR,630-A89300-001,12 Bit Analog to Digital Converter 16 Input 1 SAR 38-TSSOP,500,4.315,2157.5,0,0,Jake Harris,5.61279,2806.395,2806.395,648.895,-2806.395,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,IF-E98,795-A93075-001,"LED,FIBER OPT,50MBPS,650NM,1.9V FWD,RED",200,10.764,2152.8,0,0,Jake Harris,10.604497,2120.8994,2120.8994,-31.9006,-2120.8994,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TGHLV25R0JE,618-B36776-250,"RES,THK FILM,25 OHM,5%,200W,SOT227",50,42.12,2106,0,0,Jake Harris,45.821445,2291.07225,2291.07225,185.07225,-2291.07225,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,SOMC160310K0GEA,607-098383-103,"RNET,ISOL 10K 8 RES SOM16,ROHS",2000,1.05,2100,0,0,Stephanie Hill,0.81008,1620.16,1620.16,-479.84,-1620.16,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,LTC2666IUH-16#PBF,630-A61432-001,"IC,SMD,DAC,16-BIT,8CHAN,QFN32,0-70DEG C",73,28.56,2084.88,0,0,Tracy Xie,54.59735,3985.60655,3985.60655,1900.72655,-3985.60655,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,R1501J100B-T1-FE,660-346747-001,"PS,CMOS-LDO,3-24VIN,1A OUT,TO-252-5-P2",3000,0.681,2043,0,0,Jake Harris,0.666672,2000.016,2000.016,-42.984,-2000.016,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,TGHLV1K00JE,618-B36776-102,"RES,THK FILM,1K OHM,5%,200W,SOT227",60,33.889,2033.34,0,0,Jake Harris,37.2438,2234.628,2234.628,201.288,-2234.628,NRE
COV0020327,LamStaleInv123125,46022,IN0000025880,ECE80US24,660-A96870-024,"PS,AC-DC,85-264V INPUT,24V,3.33A,TH",52,39,2028,0,0,Jake Harris,86.68,4507.36,4507.36,2479.36,-4507.36,NRE
COV0017861,May2025StaleInv,45924,CN0000000706,XCZU3CG-1SFVC784E,630-337692-002,"Dual ARM® Cortex®-A53 MPCore™ with CoreSight™, Dual ARM®Cor",-21,482.3,-10128.3,576.49,-12106.29,Jake Harris,472.72437,-9927.21177,-12106.29,-1977.99,-2179.07823,Part
COV0019122,StaleInvQ32025,45930,IN0000024711,FDD8453LZ,626-A76438-001,"XSTR,SMD,FIELD EFT,N-CHAN,40V,50A,D-PAK",2500,0.78,1950,0,0,Jake Harris,1.04,2600,2600,650,-2600,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,D3W3P36A6GX08LF,668-325823-001,"CONN,PLUG,DSUB,RT. ANGLE,3 PIN,30A",400,4.849,1939.6,0,0,Jake Harris,5.51475,2205.9,2205.9,266.3,-2205.9,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,32208550,666-A51363-001,"SNSR,TEMP,PT100,M222,-50 TO 300DEG C,PT",999,1.94,1938.06,0,0,Edgar Santana,1.899525,1897.625475,1897.625475,-40.434525,-1897.625475,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,5051104091,668-A40315-040,"CONN,FFC/FPC,BOT CONT,.5MM,40CKT,.5A,50V",3000,0.64,1920,0,0,Jake Harris,0.819529,2458.587,2458.587,538.587,-2458.587,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,DG4051EEQ-T1-GE3,630-A42452-001,"IC,SMD,ANALOG MUX,1CKT,8CH,78OHM,TSSOP16",3000,0.63509,1905.27,0,0,Jake Harris,0.691182,2073.546,2073.546,168.276,-2073.546,NRE
COV0019122,StaleInvQ32025,45930,IN0000024711,2920L500/24SLDR,682-A91737-005,"FUSE,SMD,PPTC,24V,5A,2920,ROHS",1500,1.26,1890,0,0,Edgar Santana,1.352695,2029.0425,2029.0425,139.0425,-2029.0425,NRE
