Year,COV,Item,Amount,Invoice,Invoice Date,Notes
2026,COV0020473,OPERATING FEE,15000,IN0000026345,2026-01-30,Q1 2026
2026,COV0020473,OPERATING FEE,15000,IN0000026729,2026-02-27,Q1 2026
