COV,CO,Customer,PO,LAM #,MPN,QTY,Extended Price,Ship Date,Buyer
COV0016073,C005002,Naprotek,78036,609-068260-001,"MBR140SFT1G",30,$3.60000,11/5/2024,Stephanie Hill
COV0016073,C005002,Naprotek,78036,609-017889-025,"LM4040AIM3-2.5/NOPB",30,$34.20000,11/5/2024,TX
COV0016123,C005018,VM Services,6100049184,668-082689-003,"SDD-H26H26-2-95-FN",11,$156.82000,11/12/2024,Jake Harris
COV0016176,C005018,VM Services,6100049309,668-082689-003,"SDD-H26H26-2-95-FN",6,$14.25610,11/18/2024,Jake Harris
COV0016190,C001146,Plexus,17D-11512369-OP,668-248128-001,"731385033",40,$129.72000,11/19/2024,ES
COV0016190,C001146,Plexus,17D-11512369-OP,668-131891-001,"CJT-T-P-HH-RA-BH1",20,$1,516.11000,11/19/2024,Jake Harris
COV0016190,C001146,Plexus,17D-11512369-OP,615-228652-001,"CRCW04020000Z0EDHP",120,$1.51000,11/19/2024,Stephanie Hill
COV0016210,C005002,Naprotek,78333,630-311348-001,"ADS8688IDBTR",31,$484.15000,11/20/2024,Jake Harris
COV0016210,C005002,Naprotek,78333,630-210849-001,"LT1491ACS#PBF",11,$125.76000,11/20/2024,TX
COV0016210,C005002,Naprotek,78333,630-098848-001,"ILD207T",30,$16.32000,11/20/2024,DM
COV0016254,C005018,VM Services,6100049482,667-072912-009,"6100049482",12,$60.07920,11/22/2024,Jake Harris
COV0016257,C005002,Naprotek,78383,630-A60438-001,"PCAL6416AHF",30,$23.78000,11/22/2024,Jake Harris
COV0016257,C005002,Naprotek,78383,630-345767-001,"TPS7A8801RTJT",50,$188.57000,11/22/2024,Jake Harris
COV0016257,C005002,Naprotek,78383,630-337825-001,"AD9467BCPZ-250",11,$2,903.90000,11/22/2024,TX
COV0016257,C005002,Naprotek,78383,630-122761-001,"SN74LVC245APWR",30,$4.26000,11/22/2024,TX
COV0016257,C005002,Naprotek,78383,615-303725-087,"RT0402BRD0710K5L",150,$7.52000,11/22/2024,Stephanie Hill
COV0016257,C005002,Naprotek,78383,615-303725-085,"RT0402BRD071K15L",150,$7.52000,11/22/2024,Stephanie Hill
COV0016257,C005002,Naprotek,78383,615-303725-084,"RT0402BRD073K57L",150,$7.52000,11/22/2024,Jake Harris
COV0016258,C005002,Naprotek,78397,639-B11503-001,"MPZ1005F470ETD25",200,$17.94000,11/25/2024,Jake Harris
COV0016258,C005002,Naprotek,78397,630-080990-001,"CPC1303GR",25,$21.45000,11/25/2024,Jake Harris
COV0016268,C005002,Naprotek,78415,668-A51501-044,"164A17379X",2,$42.46000,11/26/2024,Jake Harris
COV0016268,C005002,Naprotek,78415,668-A51501-026,"164A17369X",7,$112.68000,11/26/2024,Jake Harris
COV0016268,C005002,Naprotek,78415,668-A51501-015,"164A17359X",6,$72.47000,11/26/2024,ES
COV0016268,C005002,Naprotek,78415,668-342826-015,"DAMZ-15S-N-A197",2,$51.74000,11/26/2024,ES
COV0016268,C005002,Naprotek,78415,630-A87473-001,"LTC4231IMS-2#PBF",20,$135.65000,11/26/2024,TX
COV0016276,C005002,Naprotek,78443,646-130453-010,"76HPSB10GWRT",13,$59.86000,11/27/2024,Stephanie Hill
COV0016276,C005002,Naprotek,78443,646-130453-006,"76HPSB06GWRT",13,$36.33000,11/27/2024,Jake Harris
COV0016285,C005002,Naprotek,78469,630-231505-001,"24FC512-I/SN",30,$59.87000,12/2/2024,Jake Harris
COV0016285,C005002,Naprotek,78469,630-128822-001,"TPS7A4501KTTR",70,$163.20000,12/2/2024,TX
COV0016285,C005002,Naprotek,78469,630-098848-001,"ILD207T",30,$16.32000,12/2/2024,DM
COV0016345,C005002,Naprotek,78605,630-098848-001,"ILD207T",30,$16.32000,12/11/2024,DM
COV0016374,C005002,Naprotek,78632,685-B14998-001,"RPI4-MODBP-4GB",11,$737.81000,12/13/2024,Jake Harris
COV0016444,C005002,Naprotek,78702,670-A11993-500,"RKEF500",40,$29.05000,12/18/2024,Stephanie Hill
COV0016444,C005002,Naprotek,78702,670-095989-185,"RXEF185",60,$19.37000,12/18/2024,Stephanie Hill
COV0016444,C005002,Naprotek,78702,668-64219-044,"K66X-B44S-N",12,$131.06000,12/18/2024,UNKNOWN
COV0016444,C005002,Naprotek,78702,668-061260-006,"1-770178-1",100,$170.37000,12/18/2024,ES
COV0016478,C005002,Naprotek,78744,682-117131-003,"2920L075DR",100,$31.09000,12/30/2024,Jake Harris
COV0016478,C005002,Naprotek,78744,682-117131-002,"2920L050DR",100,$34.67000,12/30/2024,Jake Harris
COV0016487,C005002,Naprotek,78762,670-097092-500,"RUEF500",5,$2.79000,12/30/2024,UNKNOWN
COV0016498,C005002,Naprotek,78784,668-B33354-002,"5-1375583-1",101,$227.93000,12/30/2024,Jake Harris
COV0016478,C005002,Naprotek,78744,668-061260-009,"1-770182-1",45,$71.29000,12/30/2024,Jake Harris
COV0016487,C005002,Naprotek,78762,668-061260-009,"1-770182-1",10,$15.84000,12/30/2024,Jake Harris
COV0016478,C005002,Naprotek,78744,668-061260-006,"1-770178-1",10,$17.04000,12/30/2024,ES
COV0016478,C005002,Naprotek,78744,668-024901-004,"178-009-313R571",10,$83.54000,12/30/2024,ES
COV0016499,C005002,Naprotek,78792,630-271124-001,"LTC1859CG#PBF",11,$481.19000,12/30/2024,TX
COV0016478,C005002,Naprotek,78744,630-080990-001,"CPC1303GR",30,$25.74000,12/30/2024,Jake Harris
COV0016487,C005002,Naprotek,78762,630-080990-001,"CPC1303GR",30,$25.74000,12/30/2024,Jake Harris
COV0016499,C005002,Naprotek,78792,615-326252-001,"CRCW12060000Z0EBC",100,$0.75000,12/30/2024,ES
COV0016499,C005002,Naprotek,78792,615-123458-511,"RC0402FR-075R11L",300,$2.25000,12/30/2024,TX
COV0016478,C005002,Naprotek,78744,615-098003-100,"RC1206FR-07100KL",100,$1.05000,12/30/2024,UNKNOWN
COV0016487,C005002,Naprotek,78762,609-099412-300,"1.5SMC30A",30,$7.04000,12/30/2024,Stephanie Hill
COV0016487,C005002,Naprotek,78762,609-099412-180,"1.5SMC18A",30,$8.70000,12/30/2024,ES
COV0016311,C005002,Naprotek,78439,630-144359-001,"LMZ14202TZ-ADJ/NOPB",2,$24.45000,12/4/2025,Jake Harris
COV0016311,C005002,Naprotek,78439,630-311348-001,"ADS8688IDBTR",3,$46.85000,12/4/2025,Jake Harris
