COV,CO Number,MPN Ordered,Customer Part Code,Description,Qty,Contract Base Price,Contract Resale,Expected Unit Profit,Contract Total Base,Contract Total Resale,Expected Total Profit,Actual Unit Cost,Actual Total Cost,Sell Price,Line Total,GP Profit,Purchased By,Actual Purchase Price,Base Price Variance,Resale vs Actual Variance,Matched
COV0019122,StaleInvQ32025,"D3W3P36A6GX08LF",668-325823-001,"CONN,PLUG,DSUB,RT. ANGLE,3 PIN,30A",400,5.51475,6.725304878048782,1.2105548780487814,2205.9,2690.1219512195125,484.22195121951256,4.849,1939.6,0,0,-1939.6,Jake Harris,4.849,-0.6657500000000001,750.5219512195126,true
COV0019122,StaleInvQ32025,"32208550",666-A51363-001,"SNSR,TEMP,PT100,M222,-50 TO 300DEG C,PT",999,1.899525,2.3164939024390243,0.4169689024390244,1897.6254749999998,2314.177408536585,416.55193353658535,1.94,1938.06,0,0,-1938.06,Edgar Santana,1.94,0.04047500000000004,376.1174085365851,true
COV0019122,StaleInvQ32025,"5051104091",668-A40315-040,"CONN,FFC/FPC,BOT CONT,.5MM,40CKT,.5A,50V",3000,0.819529,0.9994256097560975,0.17989660975609756,2458.587,2998.2768292682927,539.6898292682927,0.64,1920,0,0,-1920,Jake Harris,0.64,-0.17952899999999994,1078.2768292682927,true
COV0019122,StaleInvQ32025,"DG4051EEQ-T1-GE3",630-A42452-001,"IC,SMD,ANALOG MUX,1CKT,8CH,78OHM,TSSOP16",3000,0.691182,0.8429048780487804,0.15172287804878049,2073.546,2528.7146341463413,455.16863414634145,0.63509,1905.27,0,0,-1905.27,Jake Harris,0.63,-0.05609199999999992,623.4446341463413,true
COV0019122,StaleInvQ32025,"2920L500/24SLDR",682-A91737-005,"FUSE,SMD,PPTC,24V,5A,2920,ROHS",1500,1.352695,1.649628048780488,0.296933048780488,2029.0425,2474.442073170732,445.39957317073197,1.26,1890,0,0,-1890,Edgar Santana,1.26,-0.09269499999999997,584.4420731707319,true
COV0019122,StaleInvQ32025,"M-542CT",639-A57204-001,"IDCTR,SMD,200UH,50VDC,0.120 OHM,0.5A",1000,1.7157,2.0923170731707317,0.3766170731707317,1715.7,2092.317073170732,376.61707317073166,1.879,1879,0,0,-1879,Danyel Martinez,1.8786,0.1633,213.31707317073187,true
COV0019122,StaleInvQ32025,"DW-25-07-G-D-200",668-A93181-050,"CONN,HDR,BD STACK,50PIN,VERT,2ROW,2.54MM",500,8.174085,9.968396341463414,1.7943113414634144,4087.0425,4984.198170731707,897.1556707317072,3.68,1840,0,0,-1840,Jake Harris,3.68,-4.494085,3144.1981707317073,true
COV0019122,StaleInvQ32025,"1410-G110-L2F1-S01-4A",670-265857-007,"CB,THRM,1P,4A,28 VDC,240 VAC,PCB MTG",196,9.089901,11.08524512195122,1.99534412195122,1781.620596,2172.708043902439,391.0874479024391,9.2266,1808.4136,0,0,-1808.4136,Jake Harris,9.2266,0.13669900000000013,364.29444390243884,true
COV0019122,StaleInvQ32025,"TCA9539RTWR",630-232594-001,"I/O Expanders Rem 16B I2C & SMBus Low-Pwr
",3000,0.791673,0.9654548780487805,0.17378187804878054,2375.019,2896.3646341463414,521.3456341463416,0.59,1770,0,0,-1770,Jake Harris,0.59,-0.201673,1126.3646341463414,true
COV0019122,StaleInvQ32025,"SUD50P04-09L-E3",626-A32953-001,"XSTR,SMD,MOSFET,P-CHAN,40VDS,50A,TO-252",2000,1.12746,1.3749512195121951,0.24749121951219522,2254.9199999999996,2749.9024390243903,494.98243902439043,0.885,1770,0,0,-1770,Stephanie Hill,0.885,-0.2424599999999999,979.9024390243903,true
COV0019122,StaleInvQ32025,"LT6654AHS6-3.3#TRMPBF",630-B28359-001,"IC,SMD,V REF,3.3VOUT,TSOT-23-6",499,4.935358,6.018729268292684,1.0833712682926837,2462.743642,3003.345904878049,540.6022628780491,3.5,1746.5,0,0,-1746.5,Tracy Xie,3.5,-1.435358,1256.8459048780492,true
COV0019122,StaleInvQ32025,"6-104910-4",668-B33497-015,"CONN,HDR,PCB,3A,600V,15PIN,SHRD,VERT,BLK",1001,2.532925,3.0889329268292687,0.5560079268292686,2535.457925,3092.021859756098,556.5639347560979,1.73,1731.73,0,0,-1731.73,Jake Harris,1.73,-0.8029250000000001,1360.291859756098,true
COV0019122,StaleInvQ32025,"TSM4YJ105KR05",608-114716-106,"RES,SMD,POT,1M,10%,MULTI TURN",500,4.987785,6.082664634146341,1.0948796341463414,2493.8925,3041.3323170731705,547.4398170731707,3.444,1722,0,0,-1722,Jake Harris,3.28,-1.5437849999999997,1319.3323170731705,true
COV0019122,StaleInvQ32025,"K42X-E9S/P-A4N",668-259275-004,"CONN,DSUB,DUAL PORT,9P/9P,F/M,ROHS",270,6.227501,7.594513414634147,1.3670124146341465,1681.42527,2050.5186219512198,369.0933519512196,6.321,1706.67,0,0,-1706.67,Danyel Martinez,6.32123,0.09349899999999955,343.8486219512197,true
