Part Number,Description,MPN Quoted,Lam Product,Consumable Y/N,Critical Y/N,Shelf Life (MSL),Lead time (wks),SPQ/MOQ,Base Unit Price,18% Markup,TOTAL VALUE,COO,HTS Code,Rate,Tariff
630-A87681-001,"IC,SMD,DAC,LO PWR,HV OUT,12BIT,VQFN-48",IC,3,,3,250,14.91434,818.46960,4547.05335,,,,
668-129550-001,"CONN,RCPT,120P,TYPE C,VERT,3 X 40",CONN,1,,14,600,6.10534,804.11835,4467.32415,CHINA,8536694040,35%,1282.12
630-A39011-001,"IC,SMD,E-FUSE,60V,6A,HTSSOP-20",IC,2,,74,2000,1.78923,785.51561,4363.97561,,,,
626-345771-001,"XSTR,SMD,FIELD EFT,N-CH,40V,49A,2.2M OHM",XSTR,1,,36,3000,1.18016,777.17656,4317.64756,,,,
630-122889-001,"IC,SMD,OP AMP INSTR 1MHZ 8MSOP",IC,2,,3,2500,1.38482,759.95945,4221.99695,,,,
615-B02863-001,"RES,SMD,THIN FILM,4.99K,.01%,1/16W,0603",RES,1,,31,5000,0.68175,748.26220,4157.01220,TAIWAN,8533210030,35%,1193.06
668-B07818-001,"CONN,DSUB,FEMALE,R/A,3W3,20A",CONN,N/A,,15,240,14.08177,741.86870,4121.49278,,,,
630-271124-001,"IC,SMD,ADC,8CH,16BIT,100KSPS,28-SSOP",IC,1,,43,94,35.87039,740.15477,4111.97096,,,,
630-315857-001,"IC,SMD,TEMP SENSOR,SPI 8SOIC",IC,1,,3,2500,1.32354,726.33293,4035.18293,,,,
630-B14805-001,"IC,SMD,PWR SW,40V,80MOHM,QFN-16",IC,1,,3,3000,1.09560,721.49071,4008.28171,,,,
648-237639-001,"CAP,SMD,TANTALUM,100UF,+/-20%,20V",CAP,1,,13,2500,1.31129,719.60762,3997.82012,,,,
29-407195-00,"CAP,.01UF,25V,CERAMIC,+/-1%,SMT",CAP,1,,16,4000,0.81373,714.49639,3969.42439,,,,
609-034003-001,"DIO,SMD,PWR,TVS,600W,15V,RoHS",DIO,1,,11,42000,0.07721,711.81088,3954.50488,CHINA,8541100080,35%,1134.94
682-A91737-006,"FUSE,SMD,PPTC,24V,6A,2920,ROHS",FUSE,2,,18,2500,1.28678,706.15701,3923.09451,,,,
630-124301-001,"IC,SMD,CTRLR HOT-SWAP HV 14TSSOP,ROHS",IC,1,,9,2000,1.60541,704.81195,3915.62195,,,,
618-B36870-500,"RES,THK FILM,50 OHM,5%,120W,SOT227",RES,N/A,,20,90,35.66205,704.54294,3914.12744,,,,
630-119587-001,"IC,SMD,DUAL BUFFER GATE",IC,1,,9,3000,1.04903,690.82332,3837.90732,,,,
645-A79390-001,"SW,TGL,DPST,250V/6A,SLDR TERM,SEALED",SW,1,,23,200,15.70062,689.29534,3829.41854,,,,
668-A79668-015,"CONN,D-SUB,RCPT,15 POSN,WIRE-WRAP TERMN",CONN,1,,17,400,7.77868,683.00579,3794.47659,,,,
668-294939-001,"CONN,RCPT,FEM SKT,D-SUB,7W2,90DEG,20A",CONN,1,,17,210,14.77953,681.30029,3785.00159,,,,
668-A26902-062,"CONN,PLUG,D-SUB,HD,62POSN,RTANG,4-40SCR",CONN,1,,24,280,10.93146,671.88486,3732.69366,,,,
