Item,Source,CO Number,Line,Customer Name,Number,Invoiced,Line Sell Value,Line Cost,GP,GP%,External,Internal,Area,Vendor Name
731385033,Inventory,COV0016190,1,Plexus Corp. (Neenah) (PLEX03),C001146,19 November 2024,129.72,52.53,77.20,59.51%,joshsyre,Mexico,
CJT-T-P-HH-RA-BH1,Inventory,COV0016190,2,Plexus Corp. (Neenah) (PLEX03),C001146,19 November 2024,1516.11,961.13,554.98,36.61%,joshsyre,Mexico,
CRCW04020000Z0EDHP,Inventory,COV0016190,3,Plexus Corp. (Neenah) (PLEX03),C001146,19 November 2024,1.51,1.15,0.36,24.13%,joshsyre,Mexico,
