Item,Source,CO Number,Line,Customer Name,Number,Invoiced,Line Sell Value,Line Cost,GP,GP%,External,Internal,Area,Vendor Name
RQ73C2B357RBTD,Inventory,COV0015538,1,Naprotek LLC,C005002,30 August 2024,35.00,29.60,5.40,15.43%,joshsyre,Texas,
1.5SMC30A,Inventory,COV0015769,1,Naprotek LLC,C005002,27 September 2024,6.90,5.40,1.50,21.74%,joshsyre,Texas,
CCHD-957X-25-49.152,Inventory,COV0015768,1,Naprotek LLC,C005002,27 September 2024,532.92,479.57,53.35,10.01%,joshsyre,Texas,
RUEF900,Inventory,COV0015769,2,Naprotek LLC,C005002,27 September 2024,11.60,8.40,3.20,27.59%,joshsyre,Texas,
08051A220FAT2A,Inventory,COV0015853,2,Naprotek LLC,C005002,10 October 2024,12.00,9.00,3.00,25.00%,joshsyre,Texas,
901-144,Inventory,COV0015853,3,Naprotek LLC,C005002,10 October 2024,121.22,78.69,42.53,35.08%,joshsyre,Texas,
AC0603FR-072KL,Inventory,COV0015853,1,Naprotek LLC,C005002,10 October 2024,0.90,0.60,0.30,33.33%,joshsyre,Texas,
1.5SMC30A,Inventory,COV0015887,2,Naprotek LLC,C005002,14 October 2024,6.90,5.40,1.50,21.74%,joshsyre,Texas,
178-009-313R571,Inventory,COV0015887,3,Naprotek LLC,C005002,14 October 2024,83.50,70.10,13.40,16.05%,joshsyre,Texas,
ILD207T,Inventory,COV0015887,1,Naprotek LLC,C005002,14 October 2024,13.50,5.76,7.74,57.34%,joshsyre,Texas,
RUEF900,Inventory,COV0015887,4,Naprotek LLC,C005002,14 October 2024,10.44,7.56,2.88,27.59%,joshsyre,Texas,
5557969-1,Inventory,COV0015937,5,Naprotek LLC,C005002,21 October 2024,34.10,12.70,21.40,62.76%,joshsyre,Texas,
ADS8688IDBTR,Inventory,COV0015952,2,Naprotek LLC,C005002,21 October 2024,171.82,127.63,44.19,25.72%,joshsyre,Texas,
CGA9N1X7R1V476M230KC,Inventory,COV0015919,5,Naprotek LLC,C005002,21 October 2024,562.50,354.00,208.50,37.07%,joshsyre,Texas,
CRCW12060000Z0EBC,Inventory,COV0015919,2,Naprotek LLC,C005002,21 October 2024,1.13,0.90,0.23,20.00%,joshsyre,Texas,
CRCW12060000Z0EBC,Inventory,COV0015919,3,Naprotek LLC,C005002,21 October 2024,1.13,0.90,0.23,20.00%,joshsyre,Texas,
IRF1310NSTRLPBF,Inventory,COV0015937,2,Naprotek LLC,C005002,21 October 2024,23.00,18.07,4.93,21.43%,joshsyre,Texas,
LMZ14202TZ-ADJ/NOPB,Inventory,COV0015952,1,Naprotek LLC,C005002,21 October 2024,73.38,52.60,20.78,28.32%,joshsyre,Texas,
MAX5901NNETT+T,Inventory,COV0015937,3,Naprotek LLC,C005002,21 October 2024,101.80,93.16,8.64,8.49%,joshsyre,Texas,
RC0402FR-075R11L,Inventory,COV0015919,1,Naprotek LLC,C005002,21 October 2024,2.25,0.18,2.07,91.87%,joshsyre,Texas,
RC1206FR-071KL,Inventory,COV0015937,1,Naprotek LLC,C005002,21 October 2024,1.00,0.23,0.77,77.10%,joshsyre,Texas,
TAJC225K035RNJ,Inventory,COV0015919,4,Naprotek LLC,C005002,21 October 2024,32.00,13.40,18.60,58.13%,joshsyre,Texas,
TPL7407LDR,Inventory,COV0015919,4,Naprotek LLC,C005002,21 October 2024,54.25,22.75,31.50,58.06%,joshsyre,Texas,
747846-4,Inventory,COV0015955,1,Naprotek LLC,C005002,22 October 2024,97.40,64.80,32.60,33.47%,joshsyre,Texas,
164A17379X,Inventory,COV0015989,8,Naprotek LLC,C005002,25 October 2024,126.72,55.68,71.04,56.06%,joshsyre,Texas,
