Vendor BP,MPN,Manufacturer,Cost,Qty Available,Description,Vendor Notes,DigiKey PN
1002331,"ADS1115IDGST","Texas Instruments",3.75614,659,"IC ADC 16BIT SIGMA-DELTA 10VSSOP","DigiKey stock: 659 | DigiKey PN: 296-24934-2-ND","296-24934-2-ND"
1002331,"AP7365-33EG-13","Diodes Incorporated",0.15003,4546,"IC REG LIN 3.3V 600MA SOT-223-3","DigiKey stock: 4,546 | DigiKey PN: AP7365-33EG-13DITR-ND","AP7365-33EG-13DITR-ND"
